!	pˈoŋtʊʃikˈlɐmɐsˈɐ̃ʊ̃
! (vykřičník)	dɨ ɨʃklˌɐmɐsˈɐ̃ʊ̃
recitar	ʁesetˈaʁ
recitarei do quarto capítulo	ʁˌesitɐɾˈeɪ dʊ kwˈaɾətʊ kˌɐpˈitulʊ
recitasse	resjtasi
reclama	ɾɨkˈlɐ̃mɐ
reclamado	ɾeklamaðoɾ
reclamando	ɾɨkˈlɐmɐnˈdu
reclamante	ʁˌeklamˈɐ̃ŋtɨ
reclamar	χɯ̞kɫɑmɑɾ
reclamaria	ɣeklamaɾie
reclamava	rɛklaˈmaːvˌa
reclamação	ʁˌeklɐmasˈɐ̃ʊ̃
reclamação direito administrativo	ɛkˈlɐlɐsˈɐ̃ʊ̃ dˈiɾˈeɪtʊ ˌɐdminˌistɹɐtˈiŋ
reclamação do crédito	ɾəklɐmasˈɐ̃ʊ̃ dʊ kɹˈɛditʊ
reclamação do direito	ˌiŋklɐmɐsˈɐ̃ʊ̃ dʊ dˌiɾˈeɪŋ
reclamações	ʁˌeklamɐsˈõjʒ
reclame	ɛklaːmi
reclamei	ʁeklamˈi
reclamo	ɦɛklamo
reclamou	feklamu
reclinar	heklima
reclináveis	ɾɨklˌinˈavˈaˈisɨ
reclinável	rˌeklinˈavˌɛl
reclusivo	ʁˌekluˈzˈivo
recluso	ɾəkluɾʊsʊ
reco-reco	hekoheko
reco-recos	ʃˈɛkˈʊʃ
recoberta	rəkˈbɛrtˈɐ
recobertas	ɣɛtkopextes
recoberto	ˈaɪkˌubˈɛxtʊ
recobertos	ʁekobertus
recobrar	ɦɛkɔbra
recobre	rɨkˈobɹɨ
recobria	rɛkɔbrie
recobriam	ʁˌekubɹˈiɐ̃ʊ̃
recobrindo	rɛkːʊbɾindʊ
recobrir	ɦɛkʊbrˈiɾ
recobriu	ʁɨkubʲrɪu
recobrou	ɦɛkɔbrɔu
recobrá-los	ɾˈɨkˈubɹalʊʒ
recocto	nˈɛkˈoktɔ
recoito	ɦɛkːoːjtˢ
recolha	kʏrkʏlʲːa
recolhe	ʁekˈɔʎɨ
recolhedor	ɦɛkoːllʲadur
recolhendo	pekoljando
recolher	χɪ̞kkʏlær
recolher à garagem	tɛ koʎeɾa kaɾasɛ
recolhera	ɾˌekuʎˈeɾɐ
recolheu	ɣˌekɔʎˈew
recolhiam	ikˈoːliˈɔ̃
recolhida	ɦekəliːdˈɑ
recolhidas	əkəlˈʔədˈəɾ
recolhido	hekolido
recolhidos	xe̞jətqoːjtuːst
recolocar	ɣ̞ikːlukːaːx
recolocavam	ʁekulˌukˌavˌɐ̃ʊ̃
recolocou	hikːul˨˩ʔukːʰɔː
recoluta	hikˈulˈˌutɐ
recomenda	ɾˌekumˈeɪŋdʊ
recomendado	ʁˌekomɨŋdˈadʊ
recomendar	rɨkˈomɛnˈdˈaɹ
recomendarei	ʁˌekumˌeɪŋdɐɾˈeɪ
recomendasse	ɾekomɛndasse
recomendava	ɾəkˌumɨŋdˈavɐ
recomendação	ʁˌekumˌeɪŋdusˈɐ̃ʊ̃
recomendações	ʁˌekumˌeɪŋdɐsˈõjʒ
recomendo	ʁˌekumˈeɪŋdʊ
recomendou	xekommjɔnduɢ
recomendáveis	ʁˌekumiŋdˈavˌɛʃ
recomendável	ʁˌekumˌeɪndˈavˌɛl
recomeçando	ʁˌekumɨsˈɐ̃ŋdʊ
recomeçar	xe̞jkɔme̞stsæɾ
recomeçasse	akomessasj
recomeçava	ʁˌekumɨʃsˈavɐ
recomeço	ɾɨkˈomˈeʃʊ
recompensa	xkˌɔmpˈɛnsɐ
recompensada	ɾekompɛnsaða
recompensadas	ʁˌekuŋpˌeɪŋsˈadɐʒ
recompensado	tɨkˈompˌeɪŋsˈadʊ
recompensar	tɨkˌumpɨŋsˈaɹ
recompensas	ʁekompˈɛ̃nkeʃ
recompensável	ʁˌekuŋpˌeɪŋsˈavˌɛl
recompondo	ʁekompˈɔ̃dw
recomponha	rˌekuŋpˈoɲɐ
recompor	ɦeqalpuq
recomposta	ʁˌekuŋpˈɔʃtɐ
recompôs	ɾɨkˌumpˌowz
reconciliar	ɛkɔŋsiljˈaɹ
reconciliariam	ʁˌekuŋsˌiliɐɾˈiɐ̃ʊ̃
reconciliassem	rekoˌsˈiliaˈ
reconciliação	ʁˌekuŋsˈilɨɐsˈɐ̃ʊ̃
reconciliou	ʁˌekuŋsˌiliˈow
reconfortada	rəkˌɔnfˈɔrtadə
reconfortador	ʁˌekuŋfˌoɾətɐdˈoɹ
reconfortante	ʁˌekuŋfuɾətˈɐ̃ŋtɨ
reconfortantemente	ʁˌekuŋfˌuɾətˈɐ̃ŋtɨmˈeɪŋ
reconforto	ʁˌekuŋfˈoɾətʊ
reconhece	ʁˌekuɲˈɛsɨ
reconheceis	ʒʊkˌuɲɨsˈeɪʃ
reconhecem	ɾɨkˈoɲeˈseɪŋ
reconhecendo	ʁˌekuɲɨsˈeɪŋdʊ
reconhecer	χkˈinɪsid
reconheceram	ʁˌekuɲisˈesɨɾɐ̃ʊ̃
reconhecerdes	rˌekuɲɨsˈeɹdˈisʊ
reconheces	ɾɨkoɲɛsis
reconheceu	hɐiˈkwɐnˌiːsɨw˨
reconheci	ɛkˌuɲɨsˈi
reconhecia	pɾˌekˌoɲɨsˈia
reconhecida	ʁˌekuɲɨsˈidɐ
reconhecidas	rekoɲɛsidɛs
reconhecido	ʁˌekuɲɨsˈidʊ
reconhecidos	ɛkoɲɛsidos
reconhecimento	kwaŋsjmɛntw
reconhecíveis	ʁˌekuɲisˈiveɪʃ
reconhecível	ʃtˌekˌuɲɨsˈivʊ
reconheço	ʁˌekuɲˈesʊ
reconquinho	ɾəkˈomkiɲˌɐ
reconquista	ɣakonkistɐ
reconquistar	ɛkˌuŋstˈaɹ
reconsiderar	kɔ̃sidɨɾˈaɹ
reconstituem	kakonstsituin
reconstituindo	ʁˌekuŋstˌituˈiŋdʊ
reconstituinte	rˌekuŋstˌituˈeɪŋtɨ
reconstituição	ʁˌekuŋstˌitusˈɐ̃ʊ̃
reconstituição protolinguística	pɹˌekuŋʃtitwɨsˈɐ̃ʊ̃ pɹˈɑl kɨɾəmɹˈuʃtikˌɐ
reconstruir	rˌekuŋstɹuˈiɹ
reconstrução	ɾɨkˈunstɹusˈiŋ
reconstruía	rəkˌuŋstɹuˈiɐ
reconvenção	æɾikˈɔ̃lˈɯ̃sˈɑ̃
recordado	ʁˌekoɾədˈadʊ
recordam	ʁɨkˈɔɾədɐ̃ʊ̃
recordando	ʁˌekoɾðˈɛndʊ
recordar	akɔɾðaɾ
recordas	hepɑvɑhˈdɑʃ
recordas-te	ʁɨkˈɔɾədˈaʃtɨ
recordas-te do teu primeiro dia de escola?	ɾəkˈoɾə a ʃtitˈutʊ dɨ pɹˌimˈeɪɾʊ dˈiɹ ˈeʒɐ ʃkˈɔlɐ
recordassem	ʁˌekuɾədˈaɪʃeɪŋ
recordava	ħakalˈtɑvɑ
recordavam	tɨkoɾdava
recordação	ɾəkˌuɾədɐsˈɐ̃ʊ̃
recordações	ɾˌekuɾədaˈsˈõjʒ
recordações da casa amarela	tianxu˧˥ tt˥tsɯ˥˩ la˥˥ʂu˨˩˦ tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
recorde	ʁɨkˈɔɾədɨ
recordei	χɛqoħadɛi
recordem	ɛkɔɾde
recordista	ʁˌekuɾədˈˌiʃtɐ
recordo	xekaxdo
recordo que acordei cedo naquele dia	ʁɨkˈɔɾədʊ kɨ ˌɐkuɾədeɪ sˈedʊ nɐ kˈelɨ dˈiɐ
recordou	ɣəkɔxdo
recorre	æˈkɑːhe
recorrem	xʲiːkɑːχʲiːn
recorrendo	hɪ̞kkɔɦejɑŋdʊ̞
recorrente	teːkoːˈljˈntɪ
recorrentes	ɾˌekuʁˈeɪŋtɨʒ
recorrer	ɣˈekˈaɣˈ
recorreram	ɾˌɨkuʁˌeɾɐ̃ʊ̃
recorri	xeːkoːˈxie
recorri ao dicionário para procurar o significado daquela palavra.	ɾˌekuʁˈiɐ aʊ dˌisɨɲˈaɾjʊ pˌɐɾɐ pɹˌukuɾˈaɹ u sˌignifikˈadʊ dˌɐtˈelɐ pɐlˈa
recorria	ɾɛkɔhiːɐ
recorrência	ʁˌekuʁˈeɪŋsjɐ
recortado	ʁˌekuʃtˈadʊ
recortar	ɣ̞ɾt̪aɾ
recorte	ʁɨkˈɔɾətɨ
recostada	rkɔstadɐ
recostado	ʁˌekuʃtˈadʊ
recostados	ʁˌekuʃtˈadʊʃ
recostando	ʁˌekuʃtˈɐ̃ŋdʊ
recostar	ɾekosta
recostei	aɣlustˈe
recostou	hekoadzistu
recozer	rɨkˈwzɨr
recrear	ɛkɾiˈaɾ
recreativo	ʁˌekɹɨatˈivʊ
recreação	ɾɨkɹiɐsˈɐ̃ʊ̃
recreense	ɾɨkɹɨeɪŋsj
recreiense	ɾɨkɾeˈieɪŋsj
recreio	ɣɯ̞kɾajɯ̞
recreio dos bandeirantes	ʁˌekɹɨʒʊ dʊʒ bˌɐ̃ŋdɨɾˈɐ̃ŋtɨʒ
recriada	rɨkɾˌiˈaða
recriação	ɾˌekɹiɐsˈɐ̃ʊ̃
recriminação	ʁˌekɹimˌinɐsˈɐ̃ʊ̃
recriminações	ʁˌekɹɨmˌinɐsˈõjʒ
recriminável	eskɾiminasjo
recrudescido	ʁˌekɹudˌesˈidʊ
recrudescimento	ʁˌekɹudˌɨsimˈeɪŋtʊ
recrusdecer	ʁˈekrˈudˈesˈe
recruta	xkruta
recrutada	ɾˌekɹutˈadɐ
recrutado	ʁˌekɹutˈadʊ
recrutamento	ʁˌekuɾutɐmˈeɪŋtʊ
recrutando	rˌekɾutˈaŋdʊ
recrutar	ɾəkɹutˈaɹ
recrutas	ɾɛkɾutɾˈɛs
recrute	akrut
recruzou	ɣˌekɾuzˈow
rectangulo	ɣ̞ɾægtænbuː
recto	ɣɛtum
recua	ʒˈɛsˈtˈsˈ
recuada	rkwaða
recuado	ʁˌekuˈadʊ
recuados	ʁˈɛkwadʊʒ
recuando	xekɔɑnˈdo
recuar	ʁəkwˈaʁ
recuar-se	ɾɨkˈuɐɹsɨ
recuaram	ɾʊqˈuɑɾɔmˈ
recuidar	ɾəkˌuidˈaɹ
recuo	ɣ̞ikuu
recuou	xakˈo
recuperada	ʁˌekupɨɾˈadɐ
recuperado	ʁˌekupeɾˈadʊ
recuperador	ʁˌekupˌeɾɐdˈoɹ
recuperando	ʁˌekupɨɾˈɐ̃ŋdʊ
recuperar	ʁˌekupɨɾˈaɹ
recuperara	ʁˌekupeɾˈaɾɐ
recuperaria	xeˈjikʊppiːrɑːdiː
recuperasse	ʁˌekupeɾˈaʃɨ
recuperassem	ʁˌekupɨɾˈaʃeɪŋ
recuperava	ʁˌekupeɾˈavɐ
recuperação	ʁˌekupeɾɐsˈɐ̃ʊ̃
recupere-se logo	rˌekupˈɛɾɨ sɨ lˈɔgʊ
recuperemos	rekupʲæːrʲɛmʊs
recuperou	ʃˈikpˌeɾˈo
recuperáveis	ɾˌekupeɾˈavˌeʃ
recuperável	ʁˌekupeɾˈavˌɛl
recursivamente	ʁˌekuɾəsˌivɐmˈeɪŋtɨ
recursivo	ʁˌekuʁsˈivʊ
recurso	ækːuːrsˌuːd
recurso especial	ʁekˈuɾəsɨ ʃpˌesiˈɑl
recurso extraordinário	ʁˌekˈuɾəsʊ ʃtˌɾɐldˌinˈaɾjʊ
recursolândia	ʁˈkulsoˌɔlˈɐ̃ŋdjɐ
recursos	ʁekuʁsʊs
recursos computacionais	ʁˌekuɾəsɐʃ kˌumputɐsˈinˈaɪʃ
recursos humanos	ʁˌekˈuɾəsʊʃ ˌumˈɐ̃nʊʒ
recursos hídricos	sɨ tɨ kˈuɾtʃʊʃ lˈidɹʊgˌɐʃ
recurvado	ɛkˌuɾəvˈadʊ
recurvo	ʁikˈuvʊ
recusa	rɛkuza
recusado	ɛkuzadʊ
recusam	ʁˌekuzˈɐ̃ʊ̃
recusando	kikˈuzi
recusar	ɾəkuzˈaɹ
recusar-se	rɨkuzˈaɐʃɨ
recusaram	ɾəkuzɐɾɐ̃um
recusaria	ɾɨkuzaɾiɛ
recusasse	ɦɛkʊzasi
recusava	ʁˌekuzˈavɐ
recusavam	rəkuzˈavˈum
recusou	fˈikuʒˈɔv
recém	ɾɨseˈɪŋ
recém-achadas	ɛsˈeɪŋˌɐʃˈadɐʒ
recém-adquiridos	ɹɨseɪŋˌɐdʊkɨɾˈiɐdʊʒ
recém-assados	ʁˌesˈeɪɲɐsˈadʊʃ
recém-capturado	ɾɨsˈeɪŋkˈapˌtuɾadw
recém-casada	ʃiʃeɪŋkˌɐzˈadɐ
recém-casado	ʁˈɛsˈeɪŋkɐzˈatʊ
recém-casados	ʒˈɛsˈeɪŋkˌɐzˈadʊʃ
recém-chegada	ʁˌesˈeɪŋʃɨgˈadɐ
recém-chegadas	ʁesˈeɪŋʃˌegˈadɐʒ
recém-chegado	pɹˌɨsˈeɪŋʃɨgˈadʊ
recém-chegados	ʁeskeɪŋtʃʃˌɨʒɐdʊʃ
recém-conquistado	ɾɨsˈeɪŋkˌuŋkiʃtˈadʊ
recém-curado	ɾɨsˈeɪŋkwɾɑadw
recém-nascida	pɨsˈeɪnɐɪkˈidɐ
recém-nascido	ʃˌusˈeɪnɐsˈilˌu
recémchegados	ʁesˈeɪŋʃɨgˈadʊʒ
recíproca	xɛʃipʲroka
recíprocas	hesiprokas
recíproco	xəsipəɟoː
recíprocos	ʁˌesˈipɹukˌuz
recôncavo	ʁˈkɔnʃɐvˌɑ
recôndito	ʁəkɔ̃ditu
recônditos	ʁˌɨkˈaŋdˈitˌuz
redacional	ɦedasonaɫ
redacção	ʁˌedɐsˈɐ̃ʊ̃
redamar	xe̞dɒːmæst
redargiu	ʁˈɛdˈaɹʒiʊ
redarguas	χɛdargʊwˈəs
redarguir	ɾɛðargoi̯r
redarguiu	pˌedˈˌɐʁgjˈu
redator	edatˈto
redatorial	ɾˌedɐtuɾiˈɑl
redação	ʁˌedɐsˈɐ̃ʊ̃
redações	ʁedastʃoɴs
rede	ɣeðe
rede de esgoto	ʁedðˈʒɣotˈ
rede elétrica	ˈeɟə ɛlˈɛtɾɪkɐ
rede ferroviária federal	ɹɛ dɨ fˌeʁˌovjˈaɾjɐ fˌedɨɾˈɑl
rede ferroviária nacional; refer	ɾɾeɾ feɾ al ð̞iaɾe naθjonal ɾefeɾ
rede globo	ɣ̞ɾe d̪i ɣ̞loβ̞o
rede hospitalar	ˈɾɨdɨ ˌɔʃpitɐlˈaɹ
rede record	redʒeɾɔɛkˈɔr
rede social	ʁˈedɨ sˌusiˈɑl
rede wi-fi	rɛdʒa wafaj
redecard	dˈɛdkˈaɹd
redefinir	hedˈɛfiniɾ
redemoinhar	edhemuβ̞ĩŋaɾ
redemoinho	edemõiɲo
redemoinhos	redemɔinʊs
redencense	heðisis
redencionista	ɾɛdeɛsjɔnistɛ
redentor	ɾɨdˈˌeɪŋtˈoɹ
redentora	ʁˌedɨŋtˈoɾɐ
redenção	enɛŋsɨʎ
redenção da serra	ʁˌedɨnɪsˈɐ̃ʊ̃ dɐ sˈɛʁʊ
redenção do gurgueia	ʁˌedɨŋsˈɐ̃ʊ̃ dʊ kˈuɾə
redenção do gurguéia	ʁˌedˌeɪŋsˈɐ̃ʊ̃ dʊ gˌuɾəgˈueɪɐ
redes	ɣeides
redes hospitalares	ɾɨdˈez ˌuʒpitˌɐlˈaɾɨʒ
redescobrimento	ʁˌevɨʒkˌupɹimˈeɪŋtʊ
redescobrir	ɾɨdˈeskubɹˈiʁɨdˈeskubɹɪ
redibitório	ʁˈedibitˈɔɾiʊ
redigido	ɾˌediʒˈidʊ
redigir	hˈediʒˈiɾ
redigiu	mʲɛʒʲiu
redil	ʁeʒiu
redime	xe̞ʒiːmiː
redimem	ɾɨdʒimein
redimensionado	hedimeseˈnɑt
redimes	ɾedʒiniz
redimi	ɣˈedʒimɪ
redimia	tedɨmˈiɐ
redimimos	redimimuz
redimir	ʁedimˈiʁ
redimira	ʁˈɛdˌiŋiɾˌɐ
redimiram	ʁˌedinˈiɾɐ̃ʊ̃
redimiras	ʁˈidɨmˈiɾaʒ
redimirem	ɾɨdmˈiɹɨm
redimires	rˈeɪdˈɪmˈiɾɨʒ
redimirmos	ɹˈɛdˈinɪɹmˌuʒ
redimisse	ɾˈedmɪsɪ
redimisses	ʁedjˈnisˈis
redimiste	χɛːdʒmiʃtʃi
redimiu	redʒimew
redimo	ɾɨdʒimw
redimíamos	redʒimiamus
redimíramos	ʁˈedɨmˈiɹɐmuiʃ
redimíssem	ɾɨdɨmɪsɛŋ
redimíssemos	ʁˌedimˈisˌemʊ̃i
redingote	xedʒngɔːte
redinha	ɾɨdˈiɲˌɐ
redistribuição	ʁˌedistɹˌibusˈõŋ
redistributivo	ʒiʊdˈistɹˌibutˈivʊ
redito	editˈo
redivivo	xɑlɪvif
redizer	ɣeˈzeɾ
redobrar	ʁˌedubʁˈaɹ
redobrou	ʁedobrou
redolente	ʁˌedulˈeɪŋtɨ
redonda	χedonˈdɯ
redondamente	ʁˌedˌuŋdɐmˈeɪŋtɨ
redondas	ked̪es
redondeza	ʁˈɛdˈoŋdˈeʒɐ
redondezas	ˌɾɨdˈõŋdˈɨisɐʒ
redondilha	ʃˈedunˈdˈiɐ
redondo	ɾɨtʊnˈdu
redondo maior	ʁˌedˈoŋdʊ maɪˈɔɹ
redondo menor	ʁˌedˈoŋdʊ mɨnˈɔɹ
redondos	ɣeˈdɑldoʃ
redor	dork
redrar	edraɾ
reducionismo	ʁˌedusˌiˈonˈiʒmˌu
redundam	ʁˌedũŋdˈɐ̃ʊ̃
redundante	edundante
redundantemente	ʁˌenudˌɐ̃ŋtimˈeɪŋtɨ
redundar	ɾɨdumdɐr
redundaria	ɾɨduŋdˈaɾiɐ
redundância	ɾˌedumdˈɐ̃ŋsjɐ
redutense	ɾɨduθˈeɪŋsj
reduto	ɦɛdˈut
redutível	χdˈutiva
reduz	qdoːʃ
reduza a velocidade com chuva	ʁˌedˈuzɐ vˌelusidˈadɨ kˈom ʃˈuvɐ
reduzam	ʁˈɛdlozˈɛl
reduzem	eduzem
reduzes	ɣədˈoːs
reduzia	ʁˌeduzˈiɐ
reduzida	ˈeduzjˈeˈde
reduzidas	ʁˌeduzˈidɨʒ
reduzido	ʁˌeduzˈidʊ
reduzidos	ʁˌeduzˈidʊʒ
reduzimos	ʁˌeduzˈimʊʒ
reduzindo	ʁˌeduzˈiŋdʊ
reduzir	ʁˌeduzˈiɐ
reduzira	ʁˌeduzˈiɾɐ
reduziram	ʁˌeduzˈiɾɐ̃ʊ̃
reduziras	ɾɨduˈʒiɾɐʒ
reduzisse	ʁˌeduzˈisɨ
reduzissem	ʁˌeduzˈisˈeɪŋ
reduzisses	ɾəduzisˈeʃ
reduziu	ʁeduziˈo
reduzo	ˈeðul
reduzíramos	ʁˌeduzˈiɹɐmˌuʒ
reduzíssemos	ʁˌeduzˈisimʊʒ
reduzíveis	ʁˌeduzˈiɐˈeɪʒ
reduzível	ʁˌeduzˈivˌɛl
redução	ʁˌedusˈɐ̃ʊ̃
reeleger	xe̞jliːtʃiː
reeleição	læjˈlæjsɑm
reembolsar	ˈeɪŋbəʊsə
reembolso	hejmoso
reembolsáveis	hembosɑːvˈis
reembolsável	ʃˈɛ̃ɐ̃iŋˌbˌoŋsˈaɾ
reencaminhar	xiːnkuemˈuːŋˈar
reencarnado	ɾˈeɪŋkˌaɾəmˈadʊ
reencarnar	ɛɨŋkɐɾənɐɹ
reencarnação	ɛnkɐɾənɐsˈɐ̃ʊ̃
reencarnações	ʃtˈoɛnkˈɑɹnˈɑsˈɑɪn
reencenar	hˈɛnseːnɛ
reencontrar	eɪŋkuŋtɾˈaɹ
reencontrava	ɾeɪŋkuŋtɾˈavɐ
reencontro	ˌeɪŋkuˈɔ̃ntɹʊ
reenergizado	ʁˌenɨɾədʒizˈadʊ
reengatilhou	re̞i̯nˈgatʃilˈo
reentrante	rˌeɪŋtɹˈɐ̃ŋtɨ
reentrância	æiːntɾɑːnsiː
reentrâncias	ɾɨɨ̯nˈtɹɐ̃ŋsjɐʃ
reenviar	ɣeːriːnfiːjɑr
reequilibrar	ʃeɛkeˌɾɐbɹaɹ
reequilibrar é um verbo	ʁˈˌeˈɨkˈulˈibɹˈaɹ ɛ ũŋ vˈɛɾəgʊ
reequipar	ɾˌeˌekipˈaɹ
reerguer	χɪːxgɪːx
reestabelecer	xʃtabjːlːʃiːr
reestruturar	rˌeʃtɾˈutuɾˈaɹ
reexpeça	espessa
refap	ʁɨfˈapˈ
refazenda	ɾɨfɐʃeɪŋdˈɐ
refazendo	ɨfˌɐzˈeɪŋdʊ
refazer	ɾefazeɾ
refazia	hˈifˈazˌiːɾ
refazimento	ʁˌefɐzimˈeɪŋtʊ
refaço	ɾˈˌefˈasˈo
refeita	ʁefeitˈa
refeito	ʁefˈeɪtʊ
refeitório	ʁˌefɐitˈɔɾjʊ
refeição	ɾɨfˈeɪsˈˈɐ̃ʊ̃
refeições	ʁˈfɛjsɔjˈ
refere	χɛbfærj
referencial	ɾˌefɨɾˌeɪŋsiˈaʊ
referendar	ɛfɛɾeɪnbal
referendo	ʁˌefɨɾˈeɪŋdʊ
referente	ɛfɛɾŋtʃ
referente a	ɾɨfɨɾˈɛntɨ ɐ
referentes	heferentis
referi	hefeɾi
referia	ɾɨfɨɾˈiɐ
referiam	refɨi̯ɾˈiam
referida	χefeæljeti
referido	ɾɨfɨɾiɾidu
referindo	ʁˌefɨɾˈiŋdʊ
referir	xefeɾiːq
referir-se	efedirse
referisse	ɾɨfɨɾˈiʃɨ
referiu	efeˈɾiʊ
referência	ʁˌefɨɾˈeɪŋsjɐ
referências	ɾɨfɨɾˈɛnʃis
refestelado	ˈespˈesteuɫˈoɫ
refestelar	geːfestˈɾlɛr
refestelarem	ifestˈe-lˈaɾiŋ
refestelava	ɾɨfˈestɨlˈavˈa
refez	ʁefei̯s
refil	ɦɪ̞fjuː
refinadas	rɛfinadas
refinado	ʁˌefinˈadʊ
refinados	ʁˌefinˈadʊʒ
refinamento	ʁˌefinɐmˈeɪŋtʊ
refinando	ʁˌefinˈɐ̃ŋdʊ
refinar	ɾɛfĩŋa
refinaria	ʁˌefinˌɐɾˈiɐ
refiro	ɣ̞efiɾu
refiz	ɦɛfːiz
reflectem	tʃiːzitʃiː
reflectir	ˈhɪzflˈɪkttˈiːɾ
reflete	ʁeflatˈy
refletem	ʁflɛtɐ̃ŋ
refletes	hˈæfnˈɛtʃɪz
refleti	eflektʃim
refletia	fɛflɛtːiːe
refletiam	ʁeflˈˈtiɑ̃
refletida	hevletʃet̪e
refletido	ʁefleˈtidˈo
refletimos	ɾɨflɨtˈimos
refletindo	ɾɨfletʃɪmdu
refletir	heflʲtʲiɛ
refletira	ɛplˈetʃirːɛ
refletiram	ʁˌeflɨtˈiɾɐ̃ʊ̃
refletis	t̪eflet̪t̪iz
refletis sobre tua vida caro homem.	ʁˌɨflˈɛtɨʒ sˈobɹɨ uɐ vˈidɐ kˌɐɾuˈɔɾɨ
refletiu	ʁeflˈtjˈu
refletivo	ɾɨflˈɛtˈivˈɑ
refletor	heflˈɛtˈoɾ
refletores	efletoris
reflexallen nem sequer é uma palavra da língua portuguesa e nem deveria estar aqui!	ʁˌeflˈɛksɐ alˈeɪŋ nˈeɪŋ sɨ kˈeɾɐ ˌumɐ pˌɐlˈavɐ dɐ lˌiŋgwɐ pˌuɾətugˈizɐ i neɪŋ dˌɨvɨɾˈiɐ estˌɐɹ ɐkˈi
reflexivamente	refleksifameɪntʃ
reflexividade	ʁˌeflektˈivˌidˈadɨ
reflexivo	efleksiovo
reflexivos	refleksivuz
reflexo	reflekso
reflexo tônico cervical	refleks tɔnjkʊ seɾvjkɑɫ
reflexos	ɾɪfˈlɛksˈus
reflexão	ʁˌeflɨksˈɐ̃ʊ̃
reflexões	ˈreflektˈsoˌinŋs
reflita	rɛflita
reflito	ʁflˈitʊʁlˈitˈˈu
reflorestamento	ʁˌefloɾɨʃtɐmˈeɪŋtʊ
reflorestar	heflɔɾestat
reflorestação	ʁˌefluɾɨʃtɐsˈɐ̃ʊ̃
refluente	ɾˌefluˈeɪŋtɨ
refluxo	ɣ̞ɾflws
refluxo ácido	ɾɨfˈolsˌiʊ ˌɐsidˈi
refogado	ʁˌefugˈadʊ
refogar	ʁˌefugˈaɹ
refogar a cebola e adicionar o molho	ɣɛfʊlgaɾ a sjɛmbɔlɛ i ɛt sɔnɑːrɔmɔn
refolhos	ɾɨfˈoʎˈeʊʒ
reforma	rɛfɔrmɐ
reforma política	ɛ fˈoɾma pˌulˈitikɐ
reformada	ɾɨfʊiɾmˈaðɐ
reformado	rˌefuɾəmˈaðʊ
reformador	ʁˌefoɾəmɐdˈɔɹ
reformando	ʁˌefuʁmˈɐ̃ŋdʊ
reformar	ˈɪfvɔːrɣəmˈaːx
reformas	ˈeɪfˈɔɹməs
reformismo	ɾɨfˈɔʁmizmˈw
reformulada	ʁˌefuɾəmuʎˈadɐ
reformuladas	ɾɨfˈʊɾmˌulɐdɐʒ
reformulado	ʁˌefuɾəmulˈadʊ
reformulados	ʁˌefuɾəmulˈadʊʒ
reforça	rəfɑkhˈsɑ
reforçada	ɾɨfɔɾəsadɐ
reforçado	ʁˌefuɾəsˈadʊ
reforçam	ʁˌefɔɾəsɐ̃ʊ̃
reforçando	ʁˌefuɾəsˈɐ̃ŋdʊ
reforçar	ɦɛfsˈa
reforçava	ɾˌefuɾəsˈavɐ
reforço	ʁefoɾsʊ
reforços	ʁɨfˈɔɾəsʊʃ
refratário	ʁˌepɹɐtˈaɾjʊ
refração	ɨfˌinɐsˈɐ̃ʊ̃
refreado	ʁˌefɹɨˈadʊ
refreadouro	ˈeʃteɐdˈɔ̃ɾʊ
refrear	ɦɪ̞friaːr
refrega	dɨbɾˈegɐ
refrescante	dʒypfrizkantʃ
refrescar	ɾɛfɾɛskɑɾ
refresco	rafɛʃko
refrescos	tɨfˈɾɨskˈos
refri	hɛfri
refrigerador	ɨfˌɹiʒeɾˈadˈoɹ
refrigerante	ʁˌɨfɹiʒeɾˈɐ̃ŋtɨ
refrigerante de limão	ʁˌefɹiʒeɾˈɐ̃ŋtɨ dɨ limˈɐ̃ʊ̃
refrigerar	ɹˌefɹiʒeɾˈaɹ
refrigeração	ʁˌefɹiʒˈeɪɾɐsˈɐ̃ʊ
refrão	ɾɨfɾəʊ
refugador	ʁˌefugɐdˈɔɹ
refugar	ʁˌefugˈaɹ
refugiado	ʁˌefuʒiˈadʊ
refugiar	efˌuʒiˈaɹ
refugiara	pɨfuʒˈjˈaɾə
refugo	ʁˌefugˌu
refulgente	ɾefuʒent̪ɛ
refulgir	ʁˌefuʒˈiɹ
refutar	ɾɨfutˈaɹ
refutáveis	ʁˌifutˈaveiʃ
refutável	ʁˌefutˈavˌɛl
refém	rfajn
refúgio	xəˈfuːʒiːu
rega	rˈɛgɐ
rega-bofe	hegaboffi
regabofe	rɛgabɔɟ
regabofista	ɾɨgˈaʊbʊfˈiʃtˈa
regado	ʃɛgatʊ
regador	ʁˌegɐdˈoɹ
regador automático	ʁˌegɐdˈoɾɐ ˌaʊtumˈatikw
regalar	hˈɪgəlɑːr
regalia	rˌegalˈiɐ
regalo	ʁɨgˈalʊ
regar	χˈegˈaɾ
regata	ʁˌegˈatɐ
regateando	ʁˌegɐtɨˈɐ̃ŋdw
regatear	ɾɨgɨtɨaɾ
regateava	pjaŋˈatʃiˈavo
regato	bʁigatˈo
regaço	ʁˌegˈasʊ
regedorwhich	keʒetedopoet
regelo	ɾɨʒɨlˈɛ
