0	zɛru
trasler	tɾasɛ
trasno	trasno
trasnoitar	t̪ɾasnoit̪aɾ
trasouteiro	tɾasɔwteiɾʊ
traspasar	t̪ɾaspãssað̞
traspoñer	tɾaspoɲeɾ
trastornar	tɾast̪oɾnaɾ
tratado	tɾat̪að̞o
tratamento	tɾat̪ament̪o
tratar	t̪ɾat̪aɾ
trato	tɾatɔ
traxecto	tɾasjɛktu
traxectoria	tɾasjektoriɐ
treboada	tɾɛɣʊadɐ
trece	tɾˈeθe
treceava	tɾesθeaba
treceavo	tɾesθeaβo
treilán	tɾeilan
tremelucir	tˈɾɛmɛluθˈiɾ
tremer	tɾɛmeɾ
trenco	trɛnko
tres	t̪ɾes
tres dimensións	tɾes ð̞imẽn̪zions
tres mil	θɾes mil
trescentas	tɾesθentas
trescentos	tɾesθentʊs
triatlon	treiːtˈlˈʌŋ
tribo	tsrilo
trienio	trienio
trigal	tɾiɣal
trigo	trigo
trigonometría	tɾiɣˌoŋoˈmɛtɾˈiˌa
trigás	triɣas
trincar	dɾɪnkan
trindade	t̪ɾinð̞að̞ɾi
trinta	tɾˈeɪnta
trinta e nove	trinˈtˈa nˈoβe
trinta e oito	tɾintɛ ʊjtʊ
tripla	tripla
triplo	triplo
tritongo	tritogo
trixésimo	triʃˈesimo
troco	tɾɔkɔ
trofeo	tɾɔfɛjʊ
troglodita	proglˈɔvita
troita	t̪rojta
trombón	trompɔ
trompa	trɔmpa
trompeta	t̪e
tronceda	tɾõn̟θeð̞a
trostar	tɾufta
truco	dˈɾˈuk
trusgar	tɾʊʒɣaɾ
trusgo	tɾuʃɣo
truá	t̪ɾwˈaɾ
truán	tɾuan
tríptico	triptiko
tu	tɔ̃
tuberculose	t̪uβ̞e̞rkualos̺i
tuimil	toujmil
tumefacto	dumefakto
turbina	tʊrbjnæ
turquesa	tʊɾkesa
tusir	tusiɾ
tvg	tɛu̯vɨʁa
táctica	t̪kt̪ika
táctil	t̪akt̪jll
té	tɛ
técnica	tɛknika
térreo	fereo
tétano	t̪et̪ãn̪au̯
téxtil	tækstidi
tímpano	t̪ĩŋkpãn̪o
tórax	dˈɛɾˈɛks
tóxico	taksiko
túa	dˈua
túas	t̪ues
túnido	tɔniðɔ
u-la	ula
u-lo	ul
u-los	ulʊs
u?	u
ullá	uzˈɑ
ullán	ʊ̞xæŋ
ulmeiro	ulmeɪdo
ultramarino	ultɾamaɾino
ultramontano	ultramontano
ultrapasar	β̞ʝtad̪epasaβ̞ɾa
un	ũŋ
undécimo	ʊndˈɛsimo
unha	ˈuna
unhas	umas
uns	uz
uranio	oɾãn̪
urbano	uθɔβanʊ
urco editora	pwɾko eð̞it̪oɾa
urdir	ãd̪iɾ
urea	oɾeã
urxencia	ʊskensia
urxir	auɾʃˈir
uva	uba
uxía	uʃja
uxío	oʃo
uxío novoneyra	uʃu jɔnɑ ɔɫɯmɛjɾæm
uz	ua
va	ba
vaamonde	baamonde
vacación	β̞akaθjõŋ
vacaloura	bakaloɾa
vacariza	bakaɾiθa
vacúa	lakua
vagalume	paɣalumɛ
val	bal
val do salnés	balð̞u sɾɑːn e̞s
valadares	balaðias
valado	balˈato
valboa	balβoa
valbón	balβ̞on
valdolide	balðolidɛ
valdoviño	balðɔbjɲʊ
valenciano	balẽn̟θjano
valente	balente
valentes	valentes
valer	balɛɾ
valilongo	β̞aljlomo
valiña	baliɲa
valiñas	valinʲas
valiño	balˈiɲʊ
valiños	baliɲʊs
vallo	batʃa
valmaior	balmaʝoɾ
valonga	balonga
valverde	β̞alβ̞eɾð̞e
valín	balin
van	bãŋ
vao	bal
vapor de auga	ma poɾt̪ d̪e auɣ̞a
variable	baɾiaβ̞le
variación	bˌaɾiakˈiõn
variacións temporais	maɾiafioŋ psem porais
variedade	β̞aɾieð̞að̞i
varios	βios
variábel	β̞aɾiβ̞al
varredoiro	baɾeð̞aelio
varreduiro	areð̞ujɣ̞sõ
varrer	maneɾ
vaselina	bakɛlĩŋa
vasoira	bãsõjɾa
vasoura	basouɾe
vea	ðeəɾ
veciño	besˈiɲo
vector	β̞ekt̪oɾ
veiga	bˈeɪɣa
veiga de arriba	bɛjɣa dɛ ariβa
velaquí	belaki
velaí	bɛlaj
veleidade	belejðadɪ
veleno	beleno
velenos	ðelenos
velenoso	belemoso
vella	beʝa
vellas	beidʒas
vello	be
velnere	belere
vencello	β̞ẽɾseɾio
venceslao	bizɛzlau
vencexo	benseso
venda nova	bˈɪnda nˈoβa
vendima	bend̪emɑg
venres	pendres
vento	pento
ventosa	bentɔsa
ventosela	β̞ẽn̪t̪otʃella
ventoselo	beentˈoθelo
ventoso	βeltofɔ
ventá	pent̪a
ventín	entin
venus	benus
venéreo	benedio
ver	bˈeɾ
verba	berˈgˈɑz
verbo	bɛrbo
verborrea	bɛɾbɔɾɾea
verdade	β̞eɾð̞að̞e
verde	beɾˈde
verdecente	dˌesðesˈɛnte
verdegaia	beɾðeɣ̞aia
verderolo	berɔlo
verdescente	peˈɾˈdˈesˈ
verducedo	vˈɛlvʊlˈfɛlˈɔ
veredicto	berˈeviktɔ
vergallana	berɣazene
vergallán	beɾɣaʝan
verme	berme
vermella	peɾmeʝa
vermello	d̪elmellõ
versión	β̞eɾzion
vertebrado	beɾteβɾaðɔ
vertebrados	mɛrtebradɔs
vertixe	iːertˈiʃe
verán	beɾan
verão	bɾau̯
verían	veɾiˈeɣ
verín	beɾiŋ
vespertino	bespertino
vestir	bestiɾ
vestixios	bˌestiθˈios
veterano	bet̪eɾano
vexame	besame
vexetais	beʃetajfs
vexetal	tʃetal
vexetariano	β̞eʃet̪aɾiano
vexiga natatoria	be̞s̺iɣ̞a nat̪at̪oɾja
viana	pljana
viaxe	β̞iazi
viaxes	ɾɛːkɔrbiatʃeiːnɣalsjɑn
vicente risco	mi tu eskɔ
vicio	bisˌeo
vide	be
vieira	dˈosiˈɾa
vieiras	ð̞iaiɾas
vieiro	bjejɾo
vieiros	bʲiejɾuz
vigo	biːɦʊ
vila	bila
vila de cruces	bila dɛ kɾuθes
vila de suso	milaɾ de soso
vilaboa	bilaβ̞oa
vilachá	plˈaˈtʃˈa
vilachán	biːlætæn
vilacova	bjlakoˈβ̞a
viladesuso	filadesusˌʊ
viladonelle	biladonedʒe
viladonga	bilaðoŋga
viladónega	tiːlˈɑvˈnˈɪra
viladóniga	biladɔliɣa
vilaesteva	bilasẽβa
vilafiz	bˈiliːtˤ
vilafrio	villafrio
vilafría	bilafria
vilagarciá	biðaɣ̞ast̪t̪ia
vilagarcián	bilaɣaɾaθi̯an
vilagarcía	bilaɣaɾtia
vilagudín	il
vilalba	bilaɫβa
vilamaior	milamaʝoɾ
vilamartín	d̪ilamaɾt̪iŋ
vilamarín	dilamaran
vilameá	bialˈmˈ
vilameán	bilamias
vilamide	blamide
vilamor	bilamoɾ
vilanfesta	bilanfesta
vilanova	ilanoβ̞a
vilanova de arousa	bilanoβ̞a d̪e ɾõlsz
vilapedre	bilapˌeðˈre
vilapouca	vilapolka
vilar	ɓelaːr
vilar de abaixo	bilaɾ dɛ aβaʎʊ
vilar de arriba	bilaɾ ð̞ariβ̞a
vilar de frades	bilaɾ d̪e fɾað̞es
vilar de mouros	bilaɾ dɛ mouɾɨs
vilar de outeiro	bilaɾdʊ ʊt̪eiɾʊ
vilar de suso	bilaɾ dɛ s̺usʊ
vilar do mato	bilasdo mato
vilar do monte	bilaɾdo monte
vilarchao	bilaɾtʃao
vilarchán	belaktsan
vilarelle	bilaɾei
vilarello	bilaɾedʒo
vilares	bilaɾes
vilariño	bilaɾiɲʊ
vilariño de abaixo	bilaɾiɲʊ dɐ βajsʊ
vilariño de arriba	bilaɾiɲʊ da riβa
vilarmaior	β̞ilaɾmajoɾ
vilarnovo	balaɾnɑːvo
vilarreal	bilareal
vilarrica	bilaɾɾika
vilarvello	bilaˈrˈveʎˈo
vilarín	β̞ilaɾĩŋ
vilas	β̞jlas
vilasante	falsasanta
vilaseca	bilaseka
vilaseco	bilaseko
vilaseñor	bilaseɲɔɾ
vilasusá	bilasuss
vilavella	bilabeʝa
vilaverde	bilabeɾðe
vilaxoán	belaʃoan
vilela	bilela
villar	sepˈamˈaðiˈneɪməs
villar es un pueblo pequeño o una aldea.	bjar kɔnbe e ʊŋsamo bjar kɔŋuβe e unhasistɐ
villar es una aldea o pueblo pequeño.	istʊ ɛ mentjɛɾ a biʎaɾ nõŋ ɛ nada balɛ ɛ unha biʎa
villar es una aldea.	keɪ˥˩ j˥˩ʐ˥˩ʂxʊ˥˩li˥˩
viloira	biloiɾa
vilouriz	biloːɾiːf
vilá	bila
vilán	bilan
vimbieira	bimbieiɾa
vimbio	mɪnbio
vimieiro	biːmiːjaeɣliw
vindicta	beiːndɪktɛ
vinganza	β̞jnɣ̞anθa
vinicio	pinifio
vinte	vinte
vinte e cinco	bˈinte θˈinko
vinte e dous	β̞jnt̪ ĩ d̪os
vinte e dúas	β̞jnt̪ɾe ð̞ãẽs
vinte e nove	bint̪e loko
vinte e oito	βinˈte ˈoɪtʊ
vinte e seis	bint̪e sejs
vinte e sete	bjnt̪ set̪ɪ
vinte e un	pint̪ɛ un
vinte e unha	bint̪eu̯na
vinteava	bint̪ɐˈbã
vinteavo	pinteavo
vinteún	β̞ent̪d̪eũŋ
viola	bjola
viola de gamba	bjola d̪e gãmba
violeta	biˈolˌeta
violoncello	bjolontʃelo
violáceo	biʊlasio
vir	bɪr
viroloxía	iːɾiːfæʃiːjæ
virtude	biɾtʊðe
virulencia	viɾulɛnθi̯a
virus	viɾus
viruxe	bɪlˈuʃi
virxe	birʃi
virxindade	peɾesindadɛ
visto que	visto al
vitamina	bit̪amina
vitillo	bitidʒo
vitoria	β̞jt̪ɾia
vitorioso	bitɔɾjɔsɔ
vitrina	bitrina
viveiro	bibˈejeiɾu
vivente	vivente
vivir	biβ̞iɾ
vivíparo	biβ̞ila
vixencia	β̞jʃẽn̟θia
vixiar	bisjaɾ
vixilancia	nˈɪgˈlˈæmfiːjæm
vixilantes	β̞isilantes
vixésimo	biʃesimo
vixésimo primeiro	βiʃeszimo pɾimejro
vixésimo segundo	bisˈeszimʊ sekˈundo
viñas	bjɲæs
viño	bnˈɛ
viño do ribeiro	bjˈɲʊ do ɾjβeiro
voda	bo˩˥ːlˈð˥a
vogada	igɑt
vogal	boˈgal
voitre	bojtrɛj
vola	bɔla
volandeira	β̞lãn̪d̪ejɾa
volas	bolas
volcán	bolkan
volcánico	bolkniko
volo	bolo
volos	bolos
volpe	pɔl
voluptuosidade	bolʊt̪uasiðadɪ
voluptuoso	boluptuaso
volvede	bolβ̞eð̞e
volvepedras	mol̪t̪bepeð̞ɾes
volvesen	bolβ̞esẽn̪
vontade	ontadɛ
voo	bɔː
vos	bos
vosa	bɔsa
vosas	bɔsɐs
voso	bɔʃu
vosos	bɔʃus
vosoutras	bozotɾas
vosoutros	bosotɾos
vostedes	β̞ost̪eð̞es
votar	bˌotˈaɾ
vulcanoloxía	β̞ulkanoloɣ̞ia
véspera	be̞s̺pe̞ra
vítima	vidime
vítor	bitu
vítreo	bitreo
vívora	bibora
vós	bos̺
w	vdoβ̞ɾe
whistle	ʃu
xa	ʃa
xababanda	saβ̞aβ̞anð̞a
xababanda e a banda do xabarín (clube)	saβa bãn̪d̪a e aβ̞ãn̪d̪a d̪e sabaɾiŋ kluβ̞e
xabariz	ʃaˈβaɾiz
xabarín	ʃabarĩŋ
xabier	tʃaβ̞jɾ
xabre	gɾoːˈt̪e
xabrón	savɾo
xacando	sekãn̪d̪o
xacobe	ʃɑkɔβe
xacobeo	ʃaoˈeo
xacobino	sakʊβinʊ
xallas	tʃiːziɑːdˈvɑːst
xalundes	tʃalundɪs
xamaica	ʃɑmɑjkɑ
xamais	semas
xamois	ʃamɔis
xampú	xampu
xamón	ʃamɛ
xan	sian˥˩
xan viaño	ʃaŋ bʲijãːnʲɪ
xandra	ʃˈandɾa
xaneiro	ʃanejɾum
xanela	ʃanˈla
xantar	ʃɛntɑr
xaora	saˈɔre
xapón	tʃapom
xaramago	ʃaɾmavo
xarda	ʃarða
xardineiro	ʃaɾðinejro
xardinería	tʃaɾtineɾia
xardín botánico	tʃaɾðin botanjko
xarope	ʃaˈɾopːe
xastre	ʃɒʃti
xato	ʃatʊ
xavier	sabieɾ
xaxún	ʃaʃuːn
xebra	sɛbɾɛ
xebre	ʃˈebɾi
xeira	ʃejɾa
xeito	tʃejto
xeitoso	ʃejtosʃu
xela	ʃɛla
xelado	tʃelaðo
xelatina	selatĩŋa
xema	ʃɛma
xemación	semasioŋ
xemelgo	tʃɛmlgo
xemoloxía	ʃemoloʃia
xemíparo	semiparo
xen	ʃaːm˧˧
xendarmaría	sinð̞eɾmaɾja
xende	ʃendi
xenealóxica	xenealɣ̞ika
xenealóxico	senjalɔsjkɔ
xenebreiro	tʃeneʊɾeiɾo
xenebro	penebro
xeneralizable	seneɾaliθˈablɪ
xeneralizábel	senˈeɾɾˌaʎabˌɛl
xeneroso	tʃeneɾɔsʊ
xenes	fines
xenes saltaríns	tʃenẽs sal̪t̪aɾins
xenial	xeneal
xenobioloxía	xenobiolokia
xenoma	senˈoma
xenotipo	ʃenotipo
xenreira	kẽnɾejiɾa
xenro	sem
xente	tʃinte
xentilicio	ʃentilisio
xentío	sentio
xenuíno	senwino
xenxa	ʃˈænʃˈa
xenérico	ʃeneɾiko
xenética	tʃenɛtika
xenética de poboacións	ʃˈe ˈdetikˌa dˈi kˈofo sˈoːn
xenómica	ʃenomika
xeo	tʃeo
xeobotánica	seobotnika
xeodesia	ʃeoð̞es̺ia
xeofísica	seɔfjsika
xeografía	ʃˈɛʒʁˌɐʒɹˌɐ̃fˈiɐ
xeografía física	xˌeoɣɾafˈia fˈisika
xeográfica	tɕiːjaːbɔːn˧tɕiːta˧
xeoloxía	ʃeolosial
xeomorfoloxía	seomorfoloiˈɣ̞sia
xeonllo	seˈɾˈɯ
xeoquímica	ʃɛɔ̯kimika
xeración	tʃarasioŋ
xeracións	ʃeɾakioŋs
xerais	seɾais
xerardo	ʃeɾaɾɯdɯ
xerbolés	ʃɛrβ̞olɪs
xermano	tʃeɾmano
xerme	ʃɛrmi
xermeade	tʃeɾmeaðe
xerminada	ʃɛrminaβa
xersei	ʃɛrsej
xerundio	ʃɛrˈundjɔ
xesta	tʃɛsta
xestación	seeʃt̪ɐsioŋ
xestal	ʃɛst̪aʎ
xesteira	tʃest̪e̞i̯ɾa
xesto	tʃesto
xestosa	tʃestosa
xestoso	tʃestosʊ
xesús	ʃesus
xesús cristo	xesus kɾistʊ
xeólogos	ʃeɣ̞o̞lo̞β̞oiɾ
xiada	ɕiˈaða
xian	ʃiːx˨˩ŋ˨˩
xiana	ʃijanɛ
xiao	tʃaː
xiar	tʃiːr
xibraltar	tʃiβ̞elt̪aɾ
ximnasio	sinnasjo
ximnasta	tʃimnasta
ximnocarpo	tʃimnokaɾput
ximnospermas	ʃinnospɛrmes
ximnástico	ʃiɣnaztjkɔ
ximonde	tʃilmɔndɛ
xinzo	ʃiːnθo
xirabas	ɣ̞siɾaβ̞es
xirafa	gˈaːfˈfɛ
xirar	ʃɪrɑː
xirará	ɣ̞siɾaɾa
xire	tʃile
xiren	ʃiːlˌeɪn
xirín	tɕi˥˧ʁi˧˥
xis	tʃiːs
xisela	ʃisla
xistra	ʃistrɛn
xiz	ʃiːf
xiá	tʃiː˥˧
xián	tɕʰiːaŋ˨˩
xoane	tʃedovanem
xoaniña	tʃotʃkainʲinja
xocas	ɕokas
xocín	ʃuʃiŋ
xofre	tʃopri
xogada	ʃoɣada
xogador	ʃoɣaðoɾ
xogar	xoɣ̞aɾ
xogo	ʃaɣo
xoguete	ʃogete
xohán de cangas	ʃoãn̪d̪e kãŋgas
xoia	ʃojæ
xonxa	ʃˈɔnʃɑ
xornada	ʃoɾnað̞a
xornal	ʃoɾnal
xose	kse
xosé	ʃuːseɪv
xosé luis	ʃˈɔ̃ sˈɛ lˈuːɪs
xosé manuel beiras torrado	ʃɔsɛ eˈmɑɾɔl beˈiɾa ɛs tɔbˈaʎe
xouba	tʃoˈva
xoubiña	tʃauˈviːnˈ
xouva	ʃɔuvɑ
xove	ʃovˈe
xoven	sˈoːbɪn
xoves	ʃaˈmes
xoán	ʃoˌm
xubilación	seβiasestasseu̯
xubileu	tsˈomɪlˈɛv
xubín	ʃuːbiːn˧˧
xudas	tʃuðes
xudeu	siow
xudía	tsudia
xulia	tʃˈʊɹljˌɛs
xuliana	ʃuljˈannɪ
xullo	ʃuʒo
xuncal	ʃunkal
xunguir	siʃuːmgiːn
xunqueira	ʃugeiːɺa
xunqueira de ambia	ʃunt̪ejɾe d̪ẽn̪β̞ja
xunqueira de espadañedo	s̺oŋ kejɾa d̪es̺pð̞aɲeɣ̞o
xunta	tʃũnta
xuntar	ʃuntˈaɾ
xunto	siunto
xuntura	ʃuntˈuɾa
xuramento	swɾamɛn̪t̪o
xurdir	ʃurdiːn
xurelo	ʃoɾalo
xurisdición	tʃuɾisðifjũŋ
xurista	tʃuɾiʃte
xuro	ʃuɾ
xurro	ʃuθu
xurxo	ʃuɾsu
xustamente	sjustamente
xusticeiro	s̺ust̪is̻ieiɾo
xustiza	ʃustiθa
xusto	tʃʊsto
xuventude	siwˈeeltˈuðe
xuíz	ʃuʃ
xuízo	tʃuʃs
xuño	ʃoˈnʲo
xácome	ʃakoni
xénero	tʃɛneɾo
xénese	ʃeneˈsi
xílgaro	ʃiːlhæɾuː
xúrdio	siwːrdʒo
yoel rodríguez	ʝoel ɾoð̞ɾiɣ̞ueθ
z	z
zalapastrana	d̪ed̪epast̪ɾena
zalapastrán	t̪ʃãnãpast̪ɾank
zamburiña	amβ̞oɾjnʝa
zampallana	t̪ẽn̪t̪paxena
zampallán	sãn̪t̪pajãn
zanfoga	samfɔqa
zapataría	tabatːaɾi
zapatón	sãˈbatoŋ
zarabeto	vɛˈrɔbɛtsʲu
zarafulhar	ɾafiaj
zaragalha	ɣaia
zaragalhada	arɣaiːfˈðɑ
zaragalheiro	taɾagaɾaiːruma
zaramalha	nuramajja
zaramalhada	aːlmaːgːgːʔuzɔ
zaramalheiro	kˌɐɾɐmɐdˈiei̯ɾʊ
zarralleiro	ɾaɾɾanejdo
zarza	sarsa
zoca	sɔka
zocas	fokɾes
zoco	foko
zoncho	toɾðʃu
zooloxia	sɑːrɑːʃiːjɑ
zooloxía	solˈokɪa
zoomorfo	somorfo
zootécnico	fɔɫtɛkniko
zooxeografia	tɔakeɔgɾafia
zoqueiro	pakejro
zoscadoiro	kãs̺kað̞oiɾãm
zoscar	suskˈaɾ
zoupada	supaɾɾa
zoupar	loːpə
zoupudo	toguzu
zoupão	ləʊ̯pɔ̀ŋ
zoupón	to˧˥pum˥˩
zuna	ruːl
zósimo	fɑːsimo
zúnia	zˈunjə
¡cóntallo a outro!	kontadʒo a owtɾʊ
¡cóntallo a túa avoa!	kõn̪t̪a xo atua boa
¿onde irás, boi, que non ares?	on d̪iɾs as βoj ke nõŋ aɾes
á	a
á beira	a beiret
á beira de	a be iɾa d̪e
á do sacro	a do ʃakro
á feira	a feɪ
á fin	a fiŋ
á mantenta	a mantɛntɐ
á mariñeira	a maɾiɲeira
á paisana	aːpˌaiˈzana
á par	apaɾ
á parte de	a paɾte d
á porta do rezador non botes o millo ao sol	a apost̪ɾa d̪e ɾefeð̞ɾoɾ una ʝeɣ̞wt̪ɪ sɔmjʝo as rol
á sorte mala, paciencia e boa cara	a sɔɾte mˈala paθjˈɛnθja e bˈoa kˈaɾa
á terceira vai a vencida	a teɾθˈeɪɾa bˈaɪ a benθˈiða
á vellez, chagas e furunchos	a bɛʎɛs tʃaɣɑs e fʊɾuntʃɔs
á xardineira	a saɾð̞inejɾa
ábaco	auako
ábsida	æpsidæ
ácido ascórbico	a siðo askoɾβiko
ácrata	akɾat̪a
áfrica do sur	afɾika do sˈuɾ
álava	alaba
álbum	alβ̞wm
álex bergantiños	ã les bẽɾs rãmpt̪iʝos
álvaro lemos	almeno lemur
álvaro queijeiro	alβɔlʊ ke ɛ i ɟʝa
álxebra	alɣ̞s
ámbar gris	ambas gɾis
ámote	amote
ángulo complementario	ˈaŋgulo kˌomplementˈaɾjo
ángulo de incidencia	aŋgulo dɛ insidɛnθi̯a
ángulo de posición	ˌaŋgulo dˈos pˌosiθjˈon
ángulo esférico	aŋgulo esferiko
ángulo recto	aŋgulo ɾekto
ángulo suplementario	ˈaŋgulo sˌuβlamentˈaɾjo
ángulo sólido	aŋgulo sɔliðo
ánimo	animu
ánxel casal	amɣ̞sel kasal
ánxel fole	antʃi plei foʎe
ánxela	aɪnʃala
áraba	ɛreva
árbore	aɾβ̞oɾi
árbore bronquial	aɾboɾe β̞ɾonkjal
árbore da ciencia do ben e do mal	aɾbɔɾe dɛ θjenkiadu βenɣe dɛ mal
árbore da laca	aɾβ̞oɾ ɟʝ d̪e laka
árbore da vida	aɾbɔɾe dɛ da biða
árbore de nadal	aɾβ̞oɾe d̪e nað̞al
árbores	aɾβ̞oɾes
árbores de morera	aɾβ̞oles la moɾeja
ártico	artiko
ás cabaleirolas	ãzkaβ̞aliɾoles
ás cabaliñas	as keβalɪɲɐs
ás présas	astɾesas
ás toas	ast̪o as
ás veces	as vˈeθes
ática	atika
átomo	atomɔ
átomos	atʊmʊs
áureo	aeɾjo
é	ɛ
é dicir	ɛðɪ fiɾ
é máis	emais
ébano	eβ̞ano
énfase	emfasj
éntoma	antoma
época	ˈepoka
épsilon	ˈpsɪlɔn
érica	ɛɾjka
éter	et̪eɾ
ética	tika
éxodo	a
éxtase	ekstase
í	i˥˩
ícaro	ikaro
ígneo	ˈixnˈɛl
íleo	ileo
ímpeto	impeto
índice	nð̞jke
ío	io
ípsilon	j
ñ	pɛnɲɪ
ñoqui	noki
ñora	nʝora
ó	a
ó allo	a la ð̞u
ó baldeiro	obald̪eiɾu
ó baleiro	oβa lejɾʊ
ó cabo	o kˈaβo
ó cabo de	ʊ kaβʊ dɛ
ó chilindrón	o tʃiliŋdɾɔn
ó espeto	ospe tu
ó fin	o fiŋ
ó forno	o forno
ó gusto	oguʃtu
ó lombo	ɑlɑmbo
ó máis	o mez
ó natural	ʊ nat̪ʊɾal
ó par de	o paɾð̞ei
ó pil-pil	aː pilpil
ó pouco	apolgum
ó pé	ope
ó pé de	opeeve
ó que	o k
ó sal	ʔosal
ó vapor	a vapoɾ
ó xeito	ɒʃɒijtu
óbito	aβ̞it̪u
óboe	ˈoʊboʊjˈɛ
óctupla	oɣ̞t̪upla
óctuplo	oɣ̞t̪uplõ
óleo	olio
ómicron	omikroŋ
ómnibus	omnibus
ópera	peɾa
óptica	ptika
óptimo	optimɨ
órbita	ɔɾβit̪a
órbita de estacionamento	ɔɾbita dɛ stasioŋamemtʊ
órbita xeoestacionaria	oɾβita kseʊ estaasioŋaɾea
órgano	ɔɾɣ̞anum
órgano de manivela	ɾɣ̞ano d̪e maniβ̞ela
órgano feminino	ɔrɣɔnʊ fɔminino
órrea	ore
ós	ɑːs
óseo	ossew
óso	aʃu
óso cigomático	ʊsʊ siɣʊmatjkɔ
óso coxal	osso koçal
óso dentario	ʊ sɔdɛntaɾiʊ
óso ilíaco	osʊ iliako
óso innominado	ew s̺o ĩŋ nominaɾ
óutara	ɦoːtaɾa
óvulo	aːvɔlɔ
úbalo	ɛɔvalo
úlcera	ultʃɪræm
última	ultɪmɛ
últimas	ultimas
último	ˈultimo
úmero	umero
úsase	zɛnɨ
útero	ɔtɛru
