't	tʰtʰtʰtʰ
utlüüstern	ʊtlʏstɑːn
utmaken	ˈʊtmˈoːltɛn
utmessen	tsuːtˈeːmɑːmˈɛsən
utmeten	utɛmeːtɛn
utmissen	rˈɪçtɪgəmˈɪsən
utnahm	upnɔm
utnahmswies	ˈutnɔːmsvˈiːs
utnehmen	ʊdneɪm
utneihen	utlajn
utneihn	ʊtnaɪn
utnöchtern	ɔːtnɔːʃtæm
utpacken	aˈʊtakˌɔ̀
utparken	aɛtʃteːkˈlˈɛɾ
utpedden	tˈəpˈɛdˌən
utpepern	buːtpˈeːpeːn
utpicheln	uːpˌeːʃɔnˈ
utplappern	ʊtpˌlˈapɑːn
utplünnern	lˈiːbɜplˈʏnɜn
utposaunen	ʊtpoːzaʊn
utpowern	kutpæwɑn
utpraten	ɔʊtɾatən
utprobeern	utpɾɔpɛɐn
utproberen	utpropeaŋ
utpuff	ulpof
utpullen	ɛtstfɔlm
utpuusten	rˈɪçtɪgəpˈʊstən
utpüff	ˈutpəθ
utquarteern	ɪnkvˈɑteːɾn
utrauhn	unha
utrecken	tɾˈutrɛkn
utreden	utræ̝in
utreed	ʊdɾeːˌɪd
utrekent	ʊtɾəɪtənt
utrichten	ˌʊntɜrˈɪçtən
utrieten	ɪnrˈeːdən
utrijen	udriːjn
utritschen	ˈutrˈɛtʃən
utritsen	udrɛtsɛ
utrohen	atɾaon
utrohn	lduraːn
utroop	utrˈɔp
utroopteken	ʊtɾoːpˈteːkən
utropen	ul̪t̪uɾaɫt̪ən
utroper	utrɔpɑ
utroven	udroːvɛn
utrutschen	udrotʂɨ
utröper	ʊdoːrɑjpa
utrövern	udurojvˈan
utrümen	ʊtɾuːlˈɛn
utrüsten	buːtɔrɔʃtɛn
utrüstung	utuɾəztˈon
utsaag	mˌaɪnənzˈɔɾx
utsagen	ʊntzˈɔɾgən
utschell	tˈʃɛl
utschellen	ɛˈʊtʃɛn
utschellers	ʊtʃəlas
utschenken	bˈuːtʃˈɛŋkən
utschimpen	lˈuːbʃˈɪmən
utschott	ʊtˈʃɔt
utschotten	ɔtʃˈɔtˈən
utschrapen	tˈuːtʃrˈɑːpən
utschuss	tˈʃuːzˌ
utschännen	vəskəl
utschüsse	odʒɛsɛ
utschütten	tɾˈʊtˈɛɛn
utsehn	utsːjn
utsetten	hutsjɛtn
utsicht	tsˈɪçt
utsitten	rʊd̪sɪtˈɛn
utslag	ɔːtslˈax
utslahn	utslaɾm
utslapen	aʊtslɔvkəŋ
utslääg	ʊtslɛx
utsmücken	tsɛnpɛn
utsnacken	utːsnˈakɛn
utsnasseln	bˈaʊtsnˈˈazˌeːl
utsnieden	tsnˌeːdən
utsorteern	ʊtsoːtɛʁm
utsorteren	ʊtsoːtˈɛɾn
utspannen	bˈʊttspˈanˈn
utspeen	utspˈaɪn
utspiegen	ʊtsbˈiːgən
utspien	utspˈiːn
utspioneren	ʊtsbiːnʊlneːɾˌn
utspraak	utsdˈɾok
utspraken	utspɾɑːbən
utspreken	tspɾeːkən
utstaffeern	ʊtˈtsˈtˈɛɾfˈɛn
utstafferen	ˈʊtsdɑːfˈɛɾn
utstahn	ɔtstɔn
utstarven	mˈʊtstɑːvən
utstellen	bˈʊtstˌəln
utstiegen	bˈɔtstˌeːgən
utstorven	kˈʊnstˌoːvən
utstüren	putsdʏrn
utstüür	ˈutstˈˈɛ
utsugen	buːtsˈoːgən
utsupen	ɔtsˈʊtˈɛn
utsweten	tsuːtˈeːtən
utsöcht	mˈuːtsøːçt
utsöken	aʊtsøːkə
utsünnen	ʊtsʊn
utteeknen	uːnttˈɛːknən
uttehn	utein
uttosehn	ʔutʃlɑx
uttosetten	uːtˈoːɛtˌtˈɛn
uttosöken	ʊttɔzˈaɪtən
uttrecken	atɾˈɛkən
uttrocken	rʊdʃtrˈɔkən
uttuuschen	otʃoʃa
uttüfteln	rˈɪçtɪgətˈʏftəln
utverschaamt	uːpˈfɛɾˌʃɔɾmdˌ
utvigeleern	mˌaɪnəndˈiːgəlˈɛɾn
utvigeleren	nˈuːɾˈandərəgəlˈɛɾn
utwahl	ʊtvɔl
utwannerer	untaneɾe
utwannern	ɔtvɑːnˈan
utwarts	ˌɪnzəlvˈɑːɾts
utwaschen	ʊtvˈaʃən
utweg	ʊpvˈɛç
utweiden	rˈuːtvˈaɪdən
utwesseln	ʊɛvˈəsɛln
utwiehen	ʊtvin
utwieken	ʊtvˈɪkən
utwies	utvˈis
utwiesen	mˌaɪnənlˈeːzən
utwitschen	tˌaɪzəlnvˈɪtʃəl
utwussen	ulvˈɛˈʃtˈ
utwutschen	ʊtvʊtʃˈe
uul	uːɛ
vaagt	fˈaxt
vadder	saɾa
vadder nödig söcht	fˈɑːdɜ nˈœdɪç zˈɪçt
vadderland	fadɑllɑnd
vaddern	faːnæm
vaddersch	fɐɾʃ
vaderbroder	faɾapɾowɾe
vaderland	fˈɑːɾtɜlˌɑːnt
vadersüster	foːɾdˈɛɾzˈʏstɜ
vagel	fogl
vagelbangmaker	foglbˈɑngmˌəɾkˈɛː
vagelbeer	fˈɔgəlbˈɪɾ
vagelbeerboom	fˈɔgəlbˈiəbˈoʊn
vagelbeerbööm	fˈaɪlgˈoʊdbˈiəbˈoʊm
vagelbeern	bɔlbiˈjɑːn
vagelberen	fagɛlbˈiːrən
vagelbunt	fˈɔgəlbˌʊnt
vagelgripp	foglgɾæp
vagelhuus	fˈɔgəlhˈuːz
vagelsang	faːɔː˧kɔː˧zæn˥˩
vagelscheten	tsaːgɛzˈtˈikˈtən
vagelschiet	fˈoːɾgəʃˌiːt
vagelschreck	fˈɑːgəlʃrˈɛk
vagelsüük	fˈɔʁgəlzˈɛk
vedder	fæðːa
veeh	fˈe
veehdokter	feidoktɚ
veehdrieven	fˈaɪvzɹˈaɪvɚ
veehtucht	fˈeːlˈɔxt
veehtüch	fˈeːtʏɪç
veehwaag	favɑ
veel	fˈeɪl
veelfraat	fˈeɪlθɔːt
veerdel	fˈeːɾdəl
veerdeljohr	fˈɛrdəljˈuːɾɑː
veerdelstünn	fˌɑːɾtɛlsdˈʏn
veereck	feːrk
veereckig	fɛːrɛkˌɪç
veerkant	fˈɛɾkant
veerkantig	fˈɛːɾkˈantˈɪç
veermaster	fˈɛːɾmˌˈɑstɜ
veerspänner	fˈaɾˌʃpˈanɜ
vehdokter	feidoktɑ
vehmarkt	fˈɛnmˌɑːkt
vehstall	fejˈstɑːl
vehtüüg	fˈaɪtˈi
venien	vɛn̪in
veniensch	vɛˈnˌiːtʃ
ventiel	ventˈiːl
verafreden	fraifreːiːdˈn
verafredung	fiʔvrɪdˈɑ
verantwoorden	fɛɾˈantvˈɔɾdən
verargert	fɛɾˈɑːgərt
verasen	fʏɾɑːzˈɛn
veraukschoneren	fɛrˈaʊktʃˌoːnnˈɛːɜ
verbaast	fɛɾbˈɑːrst
verbargen	fɛɾbˈɑːgən
verbarrikaderen	fˈɛtaːrˌiːkˈarˈdiːˈan
verbeden	fɛɾbˈeːdən
verbiestern	fɛpːɪstɑn
verbinnen	fɛpɪnn
verblinnen	fˌɛɾblˈɪnn
verbreken	fɛɾbɾaɪtɛn
verbreker	fapɾeka
verbruddeln	fapurla
verbrukerschützer	fˈɜbˌɾˈˈʊkˈɛɾʃˈʏtˌtsɛɾ
verbrukerverband	fɑːbˈɾˈʊkˈɜfˈɛɾbanˈd
verbuddeln	fabrʊ̃r
verdarven	fɛtaːvɔn
verdeenst	fɛɾdˈeːnst
verdelen	ðæɪˈn
verdenen	fɛdeːn
verdoon	fɑdaːn
verdori	fæˈtæri
verdrag	fatˈrˈah
verdragsam	fædɾɑːxsɑːm
verdreeglich	fɛrdɾɛçlˌɪç
verdreet	fɛrdrˈaɪt
verdregen	fɛɾtɾˈaɪgən
verdreiht	fˈɛtrˈaɪt
verdreten	fɛɾdɾˈeːtən
verdrieven	fetˈriːvɛn
verdrinken	fɛtrˈɪŋpˌɛn
verdrussknuppen	fˈɛtuːrˌʊsknˈʊpən
verdräglich	fɛɾdrˈɛçlɪç
verdrääg	fɛɾdɾˈaɪç
verdrögen	fɛɾtɾˈɔøgən
verdrücken	fˈatʁˈukˈɔ̃
verdullen	vɛɾtˈʊlən
verdullt	fˈɛrdʊlt
verdummbüdeln	fərtˌʊŋbyːlˌlˌn
verdummdüveln	fˈɛddʊmdˈyːvən
verdummen	fatˈom
verdwalen	send̪mɑːn
verdwars	fˈɛdvˈaz
verdwass	fˈɛtˈvˈas
verdwatscht	fətvˈatʃt
verdweer	fˈɛtvˈeːɾ
verdwelen	fˈɛtvɛːlˌɛn
verdüveln	fɛɾdˈyːðəln
verdüvelt	fɛɾdˈyːfəlt
verdüüstern	fˈɛtˌysdɑːn
verdüütschen	fˈɛrdˌʏtʃən
vereen	fʔaːjn
vereensgeschicht	fyːɾeːŋsgəʃɪçt
vereenshuus	fˈɑːɪnshˈuːs
vereente natschonen	fɛˈɛndɜ nˈɑt ʃˈoːn
verenigung	vˈɑənikˌɔn
verenkelt	fɛɾˈɛŋkəlt
verfaat	fɛɾfɔːɾt
verfallsdag	fɛrˈfˈalˈstɑːkh
verfaten	fɛɾfɔltən
verfatensgericht	fɛɾfˈɔɾtˌɛnsgɛɾɪçt
verfatensschutz	fɛɾfˈaɾtənˌzˈʃˈʊts
verfehren	fɛfˈiːɾˈn
verflöken	fɛɾfløːtən
verfraren	fefɾɑn
verfreen	fefreng
verfreren	fɛrfrˈeːɾn
verfreten	fˈɛɾfrˌaɪtən
verfroren	fæfrˈuan
verföhren	fafæh
verföhrsch	fɛɾfˈœɾʃ
vergahn	fækɒːn
vergang	fekal
vergant	bˌeɾkeˈnˈtˈ
vergeevs	fɛɾgˈeːvəs
vergeten	fɛɾkeːtɛn
vergeterig	fɛɾgˈeːtərɪç
vergetern	fəgˈeːtən
vergetersch	fˈɛkəltˌɛɾʃ
vergliek	fˈakkeːlˌiːk
verglieken	fɛɾglˈiːgən
verglippen	fˈɛɾklˌɪkən
verglösen	fɛɾglˈøːzən
vergnatzt	fˈɛkɛnˌatst
vergnögen	fˈɛstˈ
vergnöglich	vˈɛknˈœyʃɫˈiz
vergnöögt	fagnoːʃt
vergraven	fˈɛkɾˌɑːvən
vergrellen	fˈɛkɾeːn
vergrellt	fˈɛɾkɾɛlt
vergretzen	fɛɾgɾˈɛtsən
vergretzt	fɛɾkɾˈɛtst
vergrillt	fɛɾgɾˈɪlt
vergritzt	fɛɾkɾɪtˈst
vergrötern	fɛrˈkɾœstern
vergünnen	fekyn
verhackstücken	fɛħakʃtɛkːən
verhalen	fɛɾhˈɔlən
verheddern	fæhɾɑm
verheemlichen	fɛɾhˈaɪmlˌɪçən
verheesbeest	fɚhejspɛjst
verheespeest	fɛˈheistpˈeɪst
verheiraadt	fæhɪrɑt
verheiraden	fɑhajrɔɾɯ̞n
verhinnern	fahˈnɑn
verhinnert	fɛjːnɑːd
verhöpen	fʊ̞hɔ̞ʊ̞pən
verjaagt	fejɑːχt
verjagen	fæg̞ɑːrbən
verjuuchheien	faɪjˈuːχaɪn
verkannt	fɛɾkˈant
verkehrtrüm	fakeatɔɾɔm
verklaamt	fɛɾklɑːmd
verklaffern	fɛrklafɛ
verklamen	fˈɛɾklˌɑːm
verklappern	fˈɛkˈlˈabˈan
verklatschen	fɛklatˈʃˌeːn
verkleden	fɛɾklˈaɪdən
verklookfiedeln	fˈɛkˌlˈɔkfˈiːlən
verklootfegen	fɛrklɑːʊtfɛçn
verkloren	fˈɛlkɛɔɜn
verknusen	fɛrknˈoːsən
verknüppeln	fˈakˈnˈpˈɛ
verknüppen	fɛɾknˈɪpən
verknütten	fɛɾknˈʏtən
verkoop	fɛɾkˈɛlp
verköhlen	fˈɛskˌoːlˈɛn
verköpen	fɛɾkˈœpən
verköper	fakajpˌa
verköpersch	fɛɾkœpˈɛz
verköpersche	fˈɛkˌœˈpˈˈaʃˈˈl
verküllen	fɛɾkˈʏlən
verlagshüüs	fˈɛstlˈœʁsyˈuːs
verlahmen	fælɒm
verlahmt	fælɑmd
verlangen	fˈɛlˌaŋ
verlangs	fˈɛlˌaŋz
verlaten	fɛɾlˈɑːtən
verlegger	fˈɛlˌɛgˈak
verlehnt	fɛɾlˈeːnt
verleren	fɛlˈɪɾn
verlett	fɛlˈlət
verlichten	fɛɾlˈɪçtən
verlichtern	fɛɾlˈɪçtɜn
verlohnen	fˈɑːlən
verlusteren	fæˈlˈɔsteːˈɑːn
verlähmt	fɛlˈeːmt
verlöven	fɛɾlˈɔøvən
verlövt	fɛɾlˈœft
verlööf	fɛ̃lˈɔøf
verlööf geven	fɛɾlˈœf gˈeːvən
verlüchten	fɛɾlˈʏçtən
verlüchtern	fɛɾlʏxtɜn
vermaak	fæmˈoːk
vermahnen	fuaɑn
vermellen	femæn
vermengeleern	fɛmmiːŋɛlɛːrˌn
vermengeleren	fɛɾmɛŋɛleːan
vermiddeln	femmeɾɔn
vermoden	fɛrmˈɔudən
vermuntern	femmuntaːn
vermöbeln	famɔbən
vermöden	fɛɾmˈœn
vermöödt	femˈud
vermünnern	fɛɾmˈœnərˌn
vermüntern	femmɛntan
vernarren hebben	fɛnaɾm hɛpn
verneddern	fenddeɾan
verneen	feneɪn
verneihen	feneːn
vernien	benin
vernimm	feneːm
verolmen	fɛrˌɔlˈm
verordelen	seɔːlbeɪm
verporren	fˈæfˈɑl
verposematuckeln	fˈɛɾpˌoːzˌmˈɑːɾtˌʊkəln
verposementeern	fɛrpɔsɛmɛntɛɾn
verposementeren	fɛrpɔzɛmɛntiːr
verpurren	fapʊn
verputzen	fɛɾpˈʊtsən
verpuust	fˈɛʁpˈʊstˈ
verpuusten	fɛɾpʊsdˌɛn
verraad	fæɾɒːt
verraden	fɛɾˈɑːdən
verratzt	fɛɾlˈatst
vers	fˈɛɹz
versacken	fesakomp
versahlen	fɛrzˈɔlən
versandhuus	fɛɾˌzˈanthˈuːs
versandhüüs	fɛɾzˈanthˈyːs
verscheden	fɛɾʃˈaɪdən
verscheel	fɛɾʃˈeːl
verschrecken	fɛɾʃrˈɛkən
verschreckst	fɛɾʃlɛkst
verschreckt	fɛrʃrɛkt
verschütt	fˈɛɾʃtˌʊt
versehn	fəˈzˌeːn
versekern	fɛzˈɛkən
versekerung	faðˈejkeɾˈoːn
verslaafde	fɛɾʃlˈɑːftə
verslaan	fˈɛstslˌɔn
verslagen	fɛslˈɑːbən
verslucken	fˈɛstslˌˈʊkˈɛn
versluss	fˈɛstslˈoːs
versmaan	fesman
versmaden	fesˈmɑːrk
versmajen	fˈɛstmˈaɾlˈɛn
versmalen	fˈɛstsmˌɔl
versnacken	fˈɛstnɑːkən
versnoren	fesnwˈa
versnuven	fˈɛstsˌoːvən
versoren	fɛɾzˈoːan
versorren	fæzɒːn
verspelen	fˌɛstmˌeːlən
verspiet	fˈɛstbˈiːt
verspis de lütt matten	fˈɛstbˌiːs tsuː lˈʏtmˌaŋ
verspreken	fɛspɾəkən
verstahn	fæstɒːn
versteken	fˈɛstˌeːkən
verstoppen	fˈɛsttoːppˌən
verstuken	fˈɛstˌuːpən
verstöört	fɛɾstˈœɾt
verstüürt	fˈɛstˌuːɾt
versuern	fʃʊ̞n
versupen	fɛɾzˈuːpən
versuren	fɛɾzˈuːɑːn
versuurn	fɛɾzˈuːən
verswelen	fəsmˌeːlən
verswinnen	fɛstvˈɪn
verswunnen	fˈɛstmʊnˌn
verswörung	fˈɛstfˌyːrʊŋ
versöken	fɛɾzˈœlkən
versöök	fɛɾzˈɔøk
versüükt	fɛɾzˈyːkt
vertehren	fæˈteːrn
vertellen	fɛɾtˈɛlən
vertellsel	vˈɛɾtəlzˌeː
vertissen	fɛɾtˈɪsən
vertövern	fˈɛtʃˈoːjˌvˌɑːn
vertöörnen	zatʃaɾnɛn
vertüdeln	fˈɛtiːtˌeːln
vertüdern	fˈɛɾtyːdˌɑːn
verwachten	fɛɾvˈaxtən
verweiht	fɛɾvˈaɪt
verwerven	fˈɛɾfɛn
verwielen	fɛbˈiːɔn
verwochten	fɛɾvˈɔɾtən
verwohren	fabuɑn
verwohrt	fɛɾbˈuːɑːrt
verännern	fɛrˈɛnər
vespertiet	fˈɛspətˈiːt
viddel	fidəl
viddeljohr	fˈɛlˈlˈoːɑː
viellicht	fˈiːllˈɪçt
vigelett	dˈiːsgˈeːlˈlˈɛt
vigelien	liːgəlɪn
vigeliensch	iːgˌəlˈiːnˈʃ
vigelinsch	vɤˈniːt˥tɕʰyː˧
vijool	vˈiːɔøɛ
villicht	fˈiːllˈɪçt
visenteren	kviːzænˈteːæm
visiet maken	visiːt moːbˈɛn
visit	vizɪd
visiteren	vizitæm
volksdömlich	fˈɔlksdˌeːˌɔønlˌɪç
volksentscheed	fˈɔlksˈændʃˈeɪd
volksschool	fˈɔlksʃaʊəl
volksvertreder	tˈumˈaɪnənʃətˈumˈaɪnənʃətˈumˈaɪnənʃətˈumˈaɪnənʃə
von af	fɔn ɛf
vonavend	fɔnnɑːfənt
vondaag	fɔndˈa
vondagigendaags	fɔndɑːgɪgəntdɑːʃ
vondör	fondˈœr
vonmorgen	fɔnmˈɔɾgən
vonnacht	fɔnnˈɛçt
vonnamiddag	fˈɔnnˈomədˌah
vonwegen	fɔnvˈɛːgən
vorsetten	fˈɔɾzˌɛtən
vorworpen	voːrˌvˈˌɑtsm
voss	fabʃ
vossig	fˈɔsɪç
vossjagd	fˈɔsjˈaxt
vosskuhl	fˈɔstkˈuːl
vosslock	fˈɔstlˌɔk
vroag	fɔː
vulkaan	vɔlkɒn
vulkaanasch	vælkɑːnæʃ
vulkaansott	fʊlkɔnzˈɔt
vull	frˈyː
vullbuuksavend	fʊlpˈʊksoːəɾlˈd
vullbuur	fˈʊlpˌʊɐ
vullhand	fʊlˈhɑːnd
vullhannig	fʊlˈhˈˈaŋˌlˌlˈɪk
vullheit	fʊllhˈˈaɪt
vullholen	fˈɔlhˈoːlən
vulljöhrig	fʊlljɔøɾɛk
vullmacht	fʊlˈmˈaxt
vullmelk	fʊlˈmˈɛlˈk
vullmächen	fʊlmˌɛç
vullmächten	fˈʊlmˌɛçtən
vullop	fˈʊlˈɔp
vullstännig	fʊllstˈɛnˌdˈɪk
vullsweet	fʊlˈsvˈeːd
vullversammlung	fʊllfərzˈamlˌʊŋ
vullwussen	fʊlˈvˈʊsʃˌnˌ
vun	fɔn
vun baben daal	fɔn ɛˈɔɾbəndˈɔl
vun de achtersten been	fˈʊndə ˈaxtɜstən bˈaɪn
vun deenst wegen	fɔn dˈɛntst vˈeːgən
vun harten	fɔn hˈaɾtən
vun snicken un zicken	fɔn snˈɪkən ɔ̃n tsˈɪkən
vundaag	fʊnˈdɑːx
vundagigendaags	fʊndˈagˈeːgəndˈɑːxs
vuneen	ˈeɪ
vunnacht	fɔnnˈaxt
vunwegen	fɔnvˈeːgən
vögelsen	fˈøːgəlzˌeːn
vör	fˈa
vör allen	fʔaː
vöran	fˈœɾrˌan
vöranbröcht	lalɛelaluaʁ
vörandrieven	aˈsˈaː
vörbeholen	fˈœɾbˌeːhˌoːlən
vörbehollen	fˈɑːɹbˌeːhˈoːlm
vörbestraaft	fœɾgɛzˌtɾɑːft
vörbi	fˈɛɹbi
vörbiflegen	fyːɾbˈiːflflˈɛːgən
vörbifohren	fɛɾbjˈvɔɾn
vörbigahn	fɛɾbjɠɔn
vörbikamen	fɛɾbikɔm
vörbikieken	fɛɾbˈiːkˌiːgən
vörbild	fɜbɪlt
vörbislieken	fɛɾbˈiːslˈiːgən
vördaal	førdˈɑːl
vördag	fˈœɾdˌɑkh
vördeel	fˈɚdˌeɪl
vördelen	føɾdæl
vördem	fyːɾdˈeːm
vördragen	fɛɾdɾˈɑːgən
vördregen	fˈɑːrdˈrˈaɪn
vördruck	fatɾok
vördrück	føɾˈdlʏk
vörfreid	fɛrˈflaɪd
vörgesetzter	fˈœɾgəzˌɛtstɜ
vörgeven	fɛɾgeːvən
vörgänger	fˈɜgˌɛŋɜ
vörgüstern	væɢɑːstæm
vörhang	fɛrˈhɑŋ
vörhebben	fˈɛrhˌɛbən
vörhen	fˈɚhˈɛn
vörher	fahija
vörhuus	farɔs
vörhüüs	fˈœɾhʊz
vörjohr	fauːt
vörkamen	fokɔm
vörknöpen	falkenøːpˈɛn
vörlaat	fˈɜlˌɑːɹd
vörlangs	fœrlaŋs
vörlesen	fɜlˌeːzən
vörlesung	fɔːleːzɔːng
vörluut	fɔɾlˈɔɔt
vörlöpig	fˈœɾlˌɔøpɪç
vörmaken	fˈɑmɔpˈɛn
vörmann	fɛrmɑn
vörmiddag	fœrmɛdɑːx
vörmiddags	fɚmɪna
vörmund	fœɾmˌaɔnt
vörmundschop	fœɾmʊnˈʃoːp
vörn	fˈɔːn
vörnaam	fɛrˈnɔm
vörnehm	fˈɚneɪm
vöroolns	fyːɾˈɔns
vörort	fɛːɹˈɑlt
vörplanen	fˈɛɾplˌɑːn
vörplatz	fˈœɾplˌats
vörraat	feɾɑːt
vörrecht	fˈɛrrɛçt
vörrelk	fælk
vörruum	fæˈælæm
vörrücken	fau̯rakum
vörsatz	fɜzˈats
vörschien	fɛɾʃˈiːn
vörschrieven	fˈɜʃrˌiːvən
vörschrift	fˈɜʃrˌɪft
vörsetten	fˈɛrzətən
vörsicht	fˈɛɾzɪçt
vörsichtig	fˈœɾzˌɪçtɪç
vörsichtshalver	fæozˈɪktsæɾˈbɑː
vörsingen	fœɾzɪng
vörsitter	fˈœɾzədˌa
vörsittersch	fœ̃rziːləʃ
vörslaan	fˈɚstlˌɑn
vörslag	fˈɜslˌɑːç
vörsmack	fˈɚstmˌɑːk
vörsmieten	fˈɚstmˌɪtən
vörsnacken	fˈɚstnˈɑːgmə
vörsnackt	fˈɛrstsnˈakɛt
vörspelen	fˈɚstbˌeɪl
vörspies	fˈɚstbˈis
vörsprung	fænsbˈɾˈʊm
vörstaher	fˈɚstˌaɪɚ
vörstahn	fˈɚstˈɔn
vörstand	fˈɚstˌænd
vörsteher	fˈɚstiːɑː
vörstellen	fˈɚstˌaɪln
vörstellig warrn	fˈœɾstɛlˌɪç vˈɑːɾ
vörstellst	fˈɚstˈɛltst
vörstellt	fˈɚstəlt
vörstraaf	fˈɚstɹˈɑf
vörsäggen	fœɾzˈɛgən
vörsätz	fɛɾzɛts
vörtieden	fɔrtˌvˈiːɾn
vörtiet	fˈɚtɪd
vörtoch	fˈœɾtɾɔx
vörtosetten	fʊɾtoɾzəpən
vörtospelen	fˈɚtoʊsˌeɪl
vörtrecken	fɜtrˈɛkən
vörtrocken	fɛɾtɾˈɔkən
vörtüüch	fəˈrˌtˈʊk
vörtüüg kamen	fˈɛrtˌʃkˌɔn
vörut	fæɾɒd
vörutahnen	fæɾbˈɑːn
vörutsehn	fərˈʊɐtzˈeːn
vörwahl	fˈœɾvɔl
vörwand	fˈɛlvˌand
vörwiehnachtstied	fˈɛlviːnˈɑːtstid
vörwiehnachtstiet	fæɾvʲiːnatsʲtʲiːd
vöss	fˈɛst
vöögt	fʏlt
vööl	føː
vüllig	fˈʏlɪç
waad	wɒːt
waag	vˈɑːx
waagnis	vɑːxnˈɪs
waagrecht	vˈɑːɾgɾɛç
waagsch	lakʃ
waagschaal	vɑːrʃɑːl
waak	vˈɑk
waal	vˈɑːl
waalriedersche	máldaːliːdɛʃi
waap	vˈɒp
waarn	vun
waas	vˈɑts
waasch	vˈaʃ
waav	bɑːf
wabbelig	lˈanbˈɪltnˈɪçt
wabbeln	vˈabˌɛ
wachlüüd	vˈaxlˈyːt
wacht	ðˈæt
wachten	vˈaxtən
wacker	raka
waden	vˈɑːɾdən
waffeliesen	vˌafəlˈiːzən
wagen	mogən
wagendriever	fokt̪eɾjβ̞a
wagenschuren	vˈɑːgənʃˌuːɜn
wagenschuur	vˈagənsʃˌuːɾ
wagg	mˈak
waggen	lake
wahlbedregeree	boːnˈlbˈəɾɛgˌeɾˈɛɪ
wahlkamp	vˈɑlkamp
wahlstriet	mˈɑːlstɹiːt
wahnen	læn
wahnhuus	bonˈɑːtnəmust
wahnstuuv	vˈɑnstˈuf
wahnung	bonum
wahr	vˈɑ̃
wahren	bon
walgen	vˈalbən
wall	vˈal
wallnutt	vˈalnʊt
wallnööt	valneːt
walnutt	malnˈuːt
walnööt	lˈaɪnlˌoʊt
wamm	vam
wandbett	vˈæntbˈɛt
wandklock	fantklˈɔk
wandluus	bˈandlˌoːs
wandlüüs	baloːs
wang	β̞ãn
wanglöövsch	vˈaɾnklˈɔøfʃ
wanken	bˈaŋkən
wannehr	mania
wanner	bana
wannern	bænæm
wannersmann	vanasman
wanschapen	nˈɔnʃˈɑpən
wapen	fokʰun
warder	vara
warf	baf
wark	vˈak
warkdaag	bægˈtɑːg
warkdaags	vægɑːr
warkdag	vˈɑːgdˌah
warkelbank	vˈaːklbˈaŋk
warkelbänk	mˌaɾtəlpˈɛŋk
warkeldag	makɛdˈax
warkeln	vˈakə
warken	vˈaklˈ
warksiedig	vˈɑːɾkəiːdˌɪç
warksteed	vˈæksdˈeɪt
warktüüch	vatʃa
warktüüchkassen	vˈagtˈʏçkˈasən
warktüüg	bˈɑːktˈʏɾk
warmmaken	vˈaːmbˈɔlən
warms	vˈanz
warmswark	vˈaɾntsvɑːrk
warrn	væm
warven	pavon
waschbütt	vˈasʃpˈɪlt
waschen	vˈaʃu
waschmaschien	basmaɣ̞sĩŋ
wass	ðas
wassdom	bastˈoŋ
wassen	vˈasən
wasslich	vˈaslɪç
wat	vat
wat de buer nich kennt, dat fritt he nich.	vˈaɪ dˈɛɾ bˈuːɾnɪç kˈɛnt tˈeːmɑː fˌɾˈɛteːŋlˌɪç
wat de buur nich kennt, dat fritt he nich.	vˈas dˈɛɾ bˈuːɾnɪç kˈɛnt dˈas frˈɪteːnˌɪç
wat dor binn is	ðˈat tˈu ˈa piːnˈnes
wat mutt, dat mutt.	tatmɔt datmɔt
wat schall dat	vˈat ʃˈaɪdɜt
water	ora
waterball	voːdɑːbˌal
waterbuddel	voɾɐnpoɾə
waterdamp	moːɾatˈamp
waterdicht	boːldɜdˈɪçt
waterglas	vˈɔntɜglˌɑːs
waterkant	fouːdakant
waterklock	bˈɔɾdɜklˈɔk
waterkraft	bˈɔɾdɜkɾˈaft
waterliek	mˈɔ̃tɜlˌiːk
watermöhl	boːdˈɜmøːl
waterpiep	wˈɔtɚpˈip
waterrinn	oɾaɾen
waterrott	vætˈɚˈɑt
waterstand	moːdˈɛɾstˈant
wattworm	bat˦vɔn˧
weck	lək
wecke	dˈoɾeɣˈɛ
wedder	vˈɛdɜ
wedder beter warrn	beːtˈtˈɜbeːdˈɜmˈan
wedderboren	akestəboan
wedderbörstig	vˌɛləbˈœɾstɪç
wedderböstig	beːnnˈɛɾbˈœstɪç
wedderdeegsch	vetɛteːks
wedderdoon	vˈɛtətˈɪm
weddergeven	ðætˈægˌɛm
wedderglaas	vˈɛtɜglˈɑːs
wedderglääs	vˈɛdɚglˈeɪts
wedderglöös	beɾəbləus
wedderhalen	væɾhɒn
wedderhall	beːlˈlˈahˈal
wedderhorig	vˈɛtɜhˈoːlˈɪç
wedderig	beːlˈtərɪç
wedderkamen	be̞ɾæːkæm
wedderkater	vˈɛtɜkˈaɾtɜ
wedderkatt	betlˈɜɾˈkˈat
wedderkauen	vˈɛtɜkˌaʊn
wedderkaun	beˈrˈakˈaum
wedderklang	tˈɪ
wedderkriegen	vetreːˈgɾˈiːbən
wedderlich	vˈɛtɜlˌɪç
wedderlik	ʋˈeːdəlˌɛɪk
weddern	fæɾn
wedderpart	beːtˈtˈɜpˈart
wedderparten	vˈɛtɜpˌaɾtən
weddersehn	beːtˈtɜzˈaɪn
weddersinn	voːtˈtɛrzɪm
wedderspill	beːtˈtɜstbeːl
