(ممتاز حسین (مصنف	multasuzɛ
کیا کیا	kʰaː kʰaː
کیا کیا کرشمے	kijäː kjäː kɾʃmɛ
کیا گیا	kijäː gɐjäː
کیا گیا تھا	kijɑ gʊjɑː t̪ʰɑːʔ
کیا گیا ہے	kijɑ gɐjɑ eːeːʔ
کیا گیہوں	kwɛːgɛ hʊ
کیا ہو	giːɑː ɦoː
کیا ہوتا ہے	kʰjə ɦoːt̪ə eːeːʔ
کیاری	ari
کیبل کار	kblkɑːɾ
کیبن	kæːbĩːn
کیتلی	kˈæːtlˌiːt
کیتھا	kɛːʰtʰɑː
کیجیے	kiːˌeːˈtʃiːˌeː
کیر تھر کوٹ	kɾd̪ʱɐɾt̪ kɔːɹd̪
کیرلا	kʲiɾala
کیری باتی	kibäːt̪iː
کیری خان	pʰeːriːxɔɑːn
کیسا	kˈænse
کیسا رہے گا	kə əˈsɑː ɾehe gɑ
کیسا زمانہ آگیا	kaisa zəˈmɑnə aː gɑːˈja
کیسر	kʰeːsɾ
کیسوپور	kestsʊkoɾɛ
کیسٹ ریکارڈر	kasək ɾəkˈɔrdˈ
کیسے	kese
کیسے بلائیں	kɒse bɒlgɒˈhiˈn
کیسے جنم لے	ka se jɑnɑm le
کیسے کریں	kɪːseː kɾiːẽː
کیشان	kʃaːn
کیف کردار	kʰɪ̞ʃiː kɪrdɑːr
کیفرِ کردار	kɛːfʌrʲeː kɪɾdɑːr
کیفی اعظمی	kfiʔ ʔaːzmim
کیفیت	kaafiːjɑb
کیفیت ختم ہوئی	kafʁia tʃatˈtˈɑ̃bʁujˈ
کیفیت نامے	kʲa ʲfjɛ̀ːtnnamɛ
کیفیت پیدا کی	k ə fiːð pə daː kə laː
کیلا	kela
کیلنڈر	kəlndə
کیلے کاپیڑ	kʰeːleː kɔː piɾ
کیماڑی	himaːliː
کیمخت	tˈimˈuht
کیمرا	dʑen˨˩nɔː˩˦
کیمره	kambra
کیمونو	kimonu
کیمپ	kˈæmp
کیمپس	kəntas
کیمیا	kɛ̃ˈlˈmˈˈia
کیمیا گری	ki nʲaːgɐri
کیمیائی محلول	ke˥˩mˌnˈjˈajː mˈaxluːm
کیمیرون	kamroːn
کینو	lnu
کینگارو	kangɾu
کینہ توز	inatos
کینہ رکھنا	iːnaːrˈaxna
کینہ پروری	kina parwaɾiː
کینیڈا	kəndˈidˈo
کیوبا	kjuːba
کیونکہ	kiunke
کیوٹی دال	t̪iː taːl
کیوڑہ	keælˈɛ
کیوں	kiu̯
کیوں بھئی	kiːuː beːj
کیوں دیئے	kiun ðie
کیوں نہیں	kijõː nəeːŋĩː
کیوں نہیں پوچھتا	kiːu nəhiː puːtʃ ta
کیوں کر	ki ũn kəɾ
کیوں کر کہوں	kʰjuː kər kəɦuː
کیوں کہ	kiun ke
کیپ ٹاؤن	kʰeːb tʌm
کیچ انتظامیہ	kˈetʃ nˈe kˈɛzɑn ˈmɪnɑhˈ
کیچڑ	ʈʂɚ˥˥
کیچڑ اچھال کر	tiːtʃɽ ʊtʃʰɑːl kɪɾ
کیچڑ اچھالا	ɦiːzɾ ʔutɕʰoi̯la
کیڈمیئم	kˈɑtnˈem
کیڑا	kira
کیڑا مکوڑا	ɟʰiːlaː maː koːˈlaː
کیڑے	kiːreː
کیک	kek
کیکر	kikr
کیکر کاپیڑ	kɪkːɐɾˈ kɑːpl
کیکڑا	kigɾˈoː
کیے جاتے	t̪iːʔeː gɑːt̪e
کے تحت	kʰeːt̪ʰɦʰɪd̪
کے حوالے	keː ɦoɑːleː
کے حوالے سے	keː ɦʋɑːlɛː seː
کے خلاف	kai̯laː
کے سوا	k seːˈwaː
کے علاوہ	kɪ ælɑbɑ
کے لیے	ke e lia
کےسِوا	dʒiːθlaː
گ	of
گئوشالا	goʃɑlɑ
گئی اور آئی	gɑːiː ɔːr əɪʔ
گئی تھیں	gəiːtiːm
گئی ہیں	gʱiː ɦeː
گئے	gɾe
گئے بھاڑ میں	gʌj bʱɑːɭ̪ mɛ̃ː
گا کر	gagr
گاؤ	gˈoʊ
گاؤ تکیہ	gˈaːoːt æˈkijˈɑ
گاؤ کشی	nuɔwˈ puːʃiŋ
گاؤ کُشی	gɑːʋ kʊʃiː
گاؤتکیہ	gɑːoːtakijɑ
گاؤدم	gɐldum
گاؤدی	ɣaːlˈbiː
گاؤرو	gɑuɾu
گاؤں	gɔ
گاؤں مغل مار	gɑːoː mogl maːr
گاؤں میں	gɐ̃ʊ̞mɪ
گاؤں کا	gɐ̃ˈŋka
گاؤں گشاٹ	gˈɔl gʃˈɑːt
گائڈبک	gˈaɪdbˈʊk
گائی ہے	gəiː ɦeː
گائیکی	gaɣeʔ
گائیں	gɔ̃e
گائے	ˈgaɪ
گائے کا تحفظ	gɑːe kə t̪əχfəs
گائے ہوئے	gaɛː hʊˈe
گائے ہوئے نغموں	gʱəːhue nɐɣmɔ
گائےآنا	gajana
گائےکاگوشت	ɾuːnæe̞kɒːæst
گاتا جائے بنجارا	gɑːt̪ə gɑːjeː bəɲdʒɑːreʔ
گاتا جائے بنجارہ	gɑːt̪ə gɑːjeː b bɪdʒɑːɾɑː
گاتے ہیں جا بجا	gɑːt̪eː ɦẽː gɑ bɐdʒɑː
گاجر	kɑːtjə
گاجرکاحلوہ	gɑːdʒɑːrkəɦɑːlʋɑː
گاسکتا	gɑːsˈkætaː
گاشربرم	gaːʃɛɾbɾum
گال	gɒn
گالم گلوچ	gɑːləm galoːtʃ
گالی	gɑːlɪ
گالی گَلوچ کَرنا	gɑːliː gəlɔdʒ kəɾnə
گالیاں	gaːliːɑː
گالیاں دینا	gaːliːˈnɑː d̪eːnə
گامبیا	ɣəmbia
گامزن	ˈgɑːmzən
گانا	gana
گانا بجانا	gɑnɑ bʒɑnɑ
گانجا	gɑːnjɑ
گانٹھ	gˈɑt
گانٹھ کر باندھ رکھیں	gɑːɖ kər bɑːnd ɾəɐkʰe
گانٹھنا	gɒtʃnˈɒ
گانچھے	gaːtʃʰeʔ
گانے لکھے	gɑːmiː lkʰeʔ
گانے گانا	ɣɑnɛ gɑnɑ
گاودی	gɒldi
گاوربتی	gɑːʋəɾbəpːiː
گاؤں	gˈoʊ
گاوں	gˈoʊ
گاڑنا	gɑːrna
گاڑهے پسینے	ɣɑ̃ː he pə siː niː
گاڑھا	gˈaɪhˈæ
گاڑھا بنا دینا	gɑːrɦɑː bəˈnɑː d̪eːnə
گاڑھا بننا	gaː haː belnə
گاڑھا شوربہ	gɑhɑ tʃoɾba
گاڑھا پسینہ	gɑhɑː pə ˈsɪnə
گاڑھا ہو جانا	gɑːɾ e̞hɦɒː ɦoː gɑːɾ nə
گاڑھےپسینے کی کمائی	ɣɑːli pə siːneːn kiː kəmai
گاڑی	gʌɾˈdi
گاڑی روک دی	gaːɾiː roːk bi
گاڑی سے	gaːɾiːse
گاڑی نہیں دی	gaːɽiː nəɦẽː ʔ
گاڑی چلارہے	gɑːɽiː tʃlɑː ɾeː
گاڑی کا قرضہ	gɑːriː kə qɑzɑ
گاڑی کے اندر جاو	ɣɑːɽiː keː ɑ̃d̪ɾ jɑːʋ
گاڑیوں کا تیز دوڑانا	ga iːnɔː kaː teːz dɔɾɑnɑ
گاڑیوں کو دوڑانا	gaːr iːɔː koːˈdɑːn
گاڑیوں کی تیز دوڑ	gɔːˈhɔːijɔːn kiː teːz dɑːr
گاڑیوں کی دوڑ	ɣɑːɾiːoː kiː d̪ɑː
گاگر	gɑːgər
گاہ گاہ	gˈa gˈa
گاہا	dɑːhɑː
گاہنا	dahˈnɑ
گاہک	kaːhak
گاہے بہ گاہے	gɑːɦeː bəgɑː ɦeː
گایا	gaja
گاۓ	gaj
گبر	gɐbr
گت	gak
گت بجانا	gʊ̃t̪ bʊdʒɑnɑː
گت بھرنا	ʁək bʱɐɾnɑː
گت کا	gʊ̞tgɑː
گتّا	tɐtˈta
گتھ جانا	gut jˈɑnə
گتھم گتھی	guːt̪ˈtʁmːguːtˈtiː
گتھی	gɔtˈvi
گتھی سلجھانا	gʊt̪tʰiː sʊl dʒɑːnɑː
گتھی سلجھنا	got̪t̪i sulaːʃna
گج باگ	gˈɐ̃dibˈagɐ
گجر	gəʒaɾ
گجر بجانا	gʌdʒɦr bgɑːnɑː
گجر بجنا	gədʒər bai̯na
گجرات	kɔdʒrɔhɑt
گجراتی	ɣʊdʒrɑːt̪iː
گجراتی بولی	gzɾɑːt̪iː beːliː
گجراتی زبان	gʊdʒɾɑːt̪iː zəbɑːn
گجرانوالا	duzɑ̃waˈla
گجرخان	gddʒrχɑn
گجرنالہ	gudʒoɾnɑla
گجروں	ɣdʒroo
گجریلا	gʊˈʒʊjˈla
گجنی	adʒini
گجنی یاد داشتیں	gʌliː jɑː d̪ɑːʃt̪eː
گجو متہ	ngaʄuː maːtːa
گجھیا	ɣʊdʒiːə
گدا	gɑdˈa
گداگر	gɐˈtaːkəɾ
گداگروں	gadaːgəˈrɑːmw
گداگری	gdaːˈgəriː
گداگیر	gadɑːgir
گداگیری	gd̪aːgiːri
گدرےآم	gdreʔaːm
گدلا	gdla
گدلا پانی	gd̪laː paːniː
گدو بیراج	kiːntuː bəːrɑːdʒ
گدو بیراج پشتہ	digdu daːlʲatsʲ fustˈo
گدڑی میں لال	ɣd̪ɾiː mẽː lɑːl
گدڑی میں لعل	bdˈriː meː lʕm
گدڑی کا لعل	guðˈri iːkɑːl ɑːl
گدگدا	gotˈgˈudˈa
گدگدانا	ɣoːdˈgoːdɑːna
گدگداہٹ	oguðaːhəʈ
گدگدایا	ˈgʊdgʊdajə
گدگدی	pot̪pɾuðʱi
گدگدی کرنا	gudguɾd̪ʝ kəɾˈnə
گدھ	ɣɑdˈa
گدھا	katˈa
گدھا گاڑی	gʌd̪ʱɑː gaːɽiː
گدھاگاڑی	gəd̪ʱaːgɑːɾiː
گدھی	gəːd̪ʱiː
گدھے	ugte
گدھے کا نگہبان	gd̪ʱeː kɑːnʲgbɑː
گدھے کا گوشت	gʌd̪ʱeː käː gʊʃ
گدی نشین	gdːj mə ʃiːn
گدی پر	gd̪iːpɾ
گذاره	buzaːrɑh
گذارے	gzəɾe
گذشتہ	gozɪstə
گذشتہ برس	guziʃtɒ bˈaɾɒs
گذشتہ روز	gʊzʃtɑ ɾoːz
گذشتہ زمانے	muzɪʃtɑ zɑmɑːne
گذشتہ سال	goˈzɪtʃ ta sɑl
گذشتہ سردیوں	koðestˈa ʃaɾβjˈo
گذشتہ شب	guzɪʃtɑ ɑʃɑm
گذشتہ ماہ	guziʃta mˈa
گرا دینا	giːɾɑː d̪eːnə
گرائے جانے	gɾɑːjeː dʒɑːne
گراری	gɾɑːɾiː
گراری دار پہیا	gɾrɑːɾiː ɖəˈɑːr pə ɦɪjɑ
گرافیتی	gafitˈi
گرام	gɾˈam
گراما	gɾɑːmɑː
گران ترین	gˌiɾˈaŋtɐ ɾiŋˈu
گراں بہا	gɾmˈbʱˈa
گراں قدر	gʲɪrɛŋ aqqadir
گربہ کشتن، روز اول	grbäː kʊʃtʃtʃ roːz ɑuwɑl
گرتا معیار	ɣɪɾt̪ʰɑː mɛ̃ː jɑːr
گرتے پڑتے	gɾˈitˈe pɑkˈte
گرج	gəˈrɯd
گرج چمک	nˈyxˈaritʃ tʃamak
گرجا	nikiːkkɑːm
گرجے	gʌlde
گرد	gɛlt
گرد آلود دھند	gəːr daːlʊ d̪uːn
گرد و غُبار	gəˈrdo waˈbaːr
گرد و نواح	gʲɪr dɔ nɔvɑ
گرداب	gɑnɑb
گرداسپور	gʊɾdɑspuɾ
گردان	gʌɾˈdɑːn
گردانا	gʌɾˈdɑːnə
گرداننا	d̪aːrdaːnunaː
گردش	gəɾdəʃ
گردشِ افلاس	gɾˈdˈhiʃi əflɑs
گردشِ دَوراں	gəɾˈdeˈʃe dɑːram
گردشِ لیل و نہار	kər bˈˈʃe lyl el riːˈhɑn
گردشِ چشم	gardɪʃe tʃaʃmɯ
گردن	gʊˈrðən
گردن زدنی	gəɾˈd̪aːn zədˈviː niː
گردندہ	beɾbɪnˈda
گردوارا	nʲkɔɾɪtːɔˈana
گردوپیش	gˈiɾdopˈeʃ
گردوں	gˌuɾðum
گردوں کے مریضوں	gʊɾˈd̪õː keː mɐɾiːzõː
گردہ	gʊrˈdɑ
گرفت	gʁaf
گرفت میں	gʲiɾa ʃtmej
گرفتار	kriːfˈtar
گرفتار نہیں ہوا	ɣəɾəftɑːɾ nĩː ɦoːʔə
گرفتار کرلیا	ɣeːɾɑfˈtɑːɾ kɐr liːə
گرفتارشدہ	giɾafˈtaɾʃuˈðɑ
گرفتاری	gɾfˈtaːriː
گرفتاریوں کا سلسلہ	bʲirafːta aːlʲimnaːʋt̪a sɛnzɪla
گرلز	gˈɚn
گرم	gərnˈ
گرم بازاری	gəɾm baːzaːriː
گرم جوش	gəɾm dʒoːʃ
گرم خبر	gɒˈrm χɒˈbɒˈɾ
گرم مزاج	gəɾm məʒɑːdʒ
گرم مسالا	ɣrm məsala
گرم مشروب	grmːaʃruːb
گرم مصالحہ	gəˈrm masəˈla
گرم پانی	gəɾəm paːniː
گرم چیز	gˌɐɾɐ̃ŋtjˈiz
گرم کریں	gɾm kɾeːn
گرم ہوا	gərmʏ̞ hʊ̞ɫɑ
گرما	gˈɛrmˈɑ
گرما گرم چاٹ	gəɾmə gərəm ʈʰaːʈ
گرما گرمی	gɐrmaː gɐrmiː
گرمائش	gəɾˈmaː
گرماگرم	gəɾmˈaːgəɾm
گرماگرمی	garmaːrgɾiːniː
گرماہٹ	gɾmɑːʱʈ
گرمی	gɑrmiː
گرمی اور بُو	gəːrmiː waːguː
گرمیوں	ɣˌɐɾmˌiˌo
گرنا	girna
گرنے دینگے	gɾne̞dæˈge
گرو	jʊn˨˩˦
گرو نانک	gruːnɑnɔk
گرو گرنتھ صاحب	gəɾˈə gəˈrɑːd sɑhɪb
گروار	kʏrβõɾ
گروہ	gɾɔ
گرچہ	gɾtʃe
گرگ صفت	gˈuʁg sˈe fˈa
گرگئے	gɪlgɐːjeː
گرگولا	gʊɾˈgɔla
گرگٹ	gˈɪɾkɪd
گرہ	gʲɪrɑ
گرہ میں مال	gɾ ɦeː maːl
گرہ نظر	gr heː nəˈzər
گرہن	græhɪ̞n
گری	giriː
گریاں نہیں‌	bɪlˈɪøː nə ˈhɪl
گریبان پَھٹْنا	gɾeːbaːn pʰəʈnwɑː
گریبانِ ننگ	gəˈrɛj baːn ˈnnə
گریباں	gɾeːbaː
گریباں چاک ہونا	gribaːn tʃaːk xɔnɑ
گریجویٹ	gɹˈædʒuˌɛt
گریز	gɹˈeʒ
گریز کرتے ہوئے	gʊɾeːs kɐɾt̪eː ɦueː
گریزاں	kuɾeˈzɒːl
گرین لینڈ	greene
گریناڈا	gɾˈinada
گریه	glʲa
گریٹنگ کارڈ	ɹˈidʒɪŋ kˈɑɹd
گریہ	gɾˈia
گریہ و زاری	gɾɛlɾˈzɑɾiːm
گریے	gʊɾˈhə
گرے	guɾe
گرے پڑے	gɾeː paɽe
گرے ہوئے پتے	gɾeː ɦeː pət̪t̪e
گرےسُن	gʲɪɾɪ̞sʊm
گزار دیتے	gzəɾ d̪eːt̪e
گزارا	gʊˈzɑːra
گزارش	gozɒːɾeʃ
گزارنا	gzɑːrnɑː
گزارنے والوں	gʊdʒɑːrnɪ oːvɑːlõː
گزارنے پر	gzəɾˈne pər
گزاره	gəzɑːrɑh
گزارہ	guzaːra
گزاری	gzəɾiː
گزر	buzˈɑɾ
گزر اوقات	gʊˈzæɾ ɑlqɑt
گزر جاؤں گا	gʊ̞zɑɾ dʒaːˈhɯ̞ŋ ɟˈa
گزر جانا	gʊˈdʒʁ dʒɑnɑ
گزر گاہ	gʊ̞zærgɑh
گزر گاہِ خیال	gʊd̪ɾɪgɑː ɦeː χɑjɑl
گزرا	guzdʒaː
گزراوقات	gʏ̞zʏ̞rɑqɑt
گزرتے ہوئے	gzəɾˈte ˈhwe
گزرجاتا	gʊˈzɐɾaːt̪ə
گزرجانے	gʊˈzæɾdʒani
گزرنا	guzˈɛlnˌɑ
گزرنے والوں	gzlne̞ waˈluːn
گزرنے کے بعد	gzəɾmẽː keː bɑːd̪ʒ
گزرگئی	gzrgəiː
گزرگیا	gʏlgɛrgɑjɑ
گزری ہوئی	gzɾiː hoːniː
گزرے ہوئے دور	gozɾe ɦoːe dɑːr
گزشتہ برس	goziʃta baras
گزشتہ رات	gozʃta raːt
گزشتہ روز	guziʃtɑɾɔz
گزشتہ شب	guzɪʃta ʃɑm
گزشتہ ماہ	guziʃtɑ mɑh
گزشتہ چند سال	muːziːʃtaː tʃʰənd sɑl
گزند	gazɑn
گزک	gɑzɑt
گزیدگی	gʌziːrdˈgiː
گزیدگی پیما	gʊˈzeːdʒiː pə mɑ
گستاخ	gʊstˈaːx
گستاخ فقرے	gustog fqri
گستاخ نگاہی	gʊstɑːx nɪgɑːʔiː
گستاخانہ	gʊ̞stɑxɑnɑ
گستاخی	gʊstɑːxiː
گستاخی معاف	gʊstɑːxʰiː maːx
گشت	gast
گشتہِ آلام	gʃtʃj ɑlɑm
گفت و شنید	gofto ʃulˈiːn
گفتگو	gufˈtˈogu
گفٹ سرٹیفیکیٹ	gˈɪft sɚtˈɪfɪkɪt
گل افشانی	gæl æfʃɑːniː
گل اندام	gol ʔ ʔ
گل بار	gʊlˈbɑːr
گل بدن	qur badaːn
گل برگ	gˈulbˌɑrˈgˈ
گل بنفشہ	guˈl bˈaɾaf ʃaː
گل بوٹے کھلائے	gʊl bt̪xɛ laːɭɛʔ
گل بکاولی	gʊl baːkʊliː
گل جائے	gəl gaːɛ
گل حنا	ul iːnˈtˈ
گل خندہ	gʊl eːxndə
گل داؤدی	gʊldˈɑːˈʋ diː
گل دان	gʊlˈdɑːn
گل دستہ	gəldastɑ
گل ستان	gʊlɪstɑːn
گل سرنجان	gʊleː sɾiŋaːn
گل شبو	kˈulʃˈəbˈo
گل عباس	gul əbwəs
گل ماهور	guleː maː ɦoəɾ
گل مہر	gʊl muɦər
گل و گلزار	gulo gʊldaːr
گل چھرے	guːnˈtʃʰre
گل چھرے اڑانا	gəl tʃʰrːoː oːɺʋɑːnɦ
گل کاری	gʊlkaːɾiː
گل کترنا	gʊl kat̪ɾn
گل کرنا	gɒl qɒlmɒ
گل گاوزبان	gʊlɪ gaːzbɑːn
گل گوتھنا	gʊl gˈoːtˈnˈaː
گل گونہ	qulguɫni
گل ھزارہ	gəl ɦzɑːrɑh
گل ہائے ناز	gʊlɦɑːjeː nɑːs
گل ہزارہ	gəl hazaaːra
گلا	tɐlˈaː
گلا آنا	gʌla ʔaːnɑʔ
گلا بیٹھنا	gʌlɑ beːʃnə
گلا سڑا	gəˈlɑ səˈrɑh
گلا پڑنا	gəlaː pə ɾɑː
گلا کاٹنا	gʊːlɑː kɑːʈnɑ
گلا کیا	giːləː kijäː
گلائی	gəlaːjiː
گلاب	kʰælɑm
گلاب جامن	gələb dʒɑmɪn
گلاب کا پانی	golɑːf kə paːniː
گلابی	ɣlɑːbi
گلابی اردو	glaː bi ʊrdʊm
گلابی باغ	glaːbibaː
گلابی جاڑا	gəlaː biːdʒaː
گلاس	blas
گلانا	gælɑnɑ
گلاؤ	gʌlɑl
گلاوٹ	gʌlɑːʋət
گلبرگ	gˈolbyrd
گلتی دال	glt̪iːdaːl
گلدان	bundaːn
گلدسته	gondasta
گلدستہ	gʊːldstə
گلزار	gəzˈzaːr
گلستان	gʊlstɑːn
گلستان جوہر	malaːstɑːn gʊhɑr
گلستان سعدی	gʊlɪstɑːr sɑːliː
گلستان محل	bʊlɪstɑːn mɛhl
گلستانِ جوہر	gʊlɪstɑːn ɛjʒɑʊhɾ
گلشن	gulʃən
گلشن اقبال	gʊjʃne ɑqbaːz
گلشن راوی	gʊlʃɛnɛːɾaːʋiː
گلشن شمیم	gojʃa˩˥ːne ʃa˥˩mjn
گلشن معمار	gʊlʃəŋeː mɛːmɑːr
گلقند	gulqanˈdi
گلنا	gɑlmɑh
گلنگ	gɛlaˈnɑg
گلنے کے لئے	gəlˈnɛː keː liːeʔ
گلو	ɣulu
گلوبند	guɫubønd
گلوری	gʊlɔːɾiː
گلوکار	ɓʊˈlɔkaːr
گلوکارہ	gʊːlɔːkɑːrɑː
گلوکاری	ʱoːluːqɑːriː
گلوگیر لہجے	bʊlʊɣiːr læɦdʒeʔ
گلِ مخمل	gʊlʲ mkhˈmɑl
گلِ مہندی	gʊlɪmɛː əndriː
گلّہ	gʌlːə
گلّہ بانی	gʌlːə baːnijuː
گلّہ چَرانا	gʌlɑːtʃɑːɾɑnɑː
گلٹی	gilti
گلٹی بتوری	gɪltiː bt̪oːriː
گلپھڑا	gəlpʰəˈɺɑ
گلپھڑے	gəlpˈre
گلچہ	buntʃe
گلچیں	gʊlgi
گلکار	gʊlkaːr
گلگت	gjɪlgɛt
گلگت بلتستان	d lgət̪ b̪lt̪jst̪ɑːn
گلگت و بالتستان	gɪlˈgito bəlt̪ɪstɑːn
گلگتی زبان	giːl gət̪iː zbɑːn
گلگلہ	gʏlgʏlɑ
گلگلے	gonˈgule
گلگلے سے پرہیز	gʊɭɦɭəɪse pəɾɦeːz
گلہ	bila
گلہ بان	gəlaːbaːn
گلہ بانی	gʊlˈlɑ baːniː
گلہ نہ ہوا	gilaːna hoaː
گلہ کرنا	gʱɪlə kɾnə
گلہائے	gʊlhaɪ
گلہائے رنگ و بو	gəlɦaaːj rng bʊ
گلہری	boːləhi
گلی	gəˈli
گلی دال	gəliː dɑːl
گلی قاسم جان	ɣʊlɪ qɑsˈniːə
گلی والے	gəliː waːle
گلی ڈنڈا	gʊːlliː gʱɐɳɖa
گلی کوچوں	ɽliquːtʃoŋ
گلی گلی	gəliː gəliː
گلیات	gəliːˈɑːt
گلیارہ	dɛliɑra
گلیاں	gəlijẽːʔ
گلیوں	gəlˈˈɛn
گلیوں میں	gəlˈiːoː mɛ̃ː
گلے سے اتارنا	gɐlɛːsɨʊ uːtaːɾʊŋ
گلے شکوے	ne̞le̞ ʃitme
گلے شکوے کرنا	gælʲ ʃikwɛj kɑrna
گلے لگانا	gʌnˈe ləgɑnə
گلے لگایا	gəːlẽː ləgʌjɑː
گلے لگنا	gəleː ləgna
گلے ملنا	gale˩˥ːmina˥˩ː
گلے پڑنا	ɣəɭe pə ɭnə
گلے کا بار	naˈsɔːdɑːn˧
گلے کی حالت	gʌleː kiː ɦɑːlət̪
گم سم	gum sʊm
گم کرنے	gum kəɾne
گم کیا ہوا	guːmd̪jɑːɦuːɾ
گم کیجیے	guːm˥˩ʈgiː˧
گم گشتہ	uŋgˌɐʃtˈa
گماشتہ	ɟˈumaːʃta
گمبھیر	kambˈir
گمراہ	ˈgumɾa
گمراہ لوگ	gmɾɑː ɦlɔː
گمراہی	gmɾɑːɦiː
گمشدگی	koːmˈʃˈubgi
گمشدہ قبر	guːm ʃuːda pɑˈbɯɾ
گملا	gɐmlˈaː
گمنام	gon
گمنام راہی	gmnɑːm ɾɑːɦiː
گمنام لکھنے والوں	gʊmˈnɑːm lɪkʰneː baːlõː
گن گاتی ہے	gʊŋɑːt̪iː ə
گن گنانا	gonɣonaɫɯ
گن گناہٹ	kon nɑːɦe æst
گنانا	ginɑːnɑː
گناہ سے بچیں	gynɑː hase btʃe
گناہ کبیرہ	gɦnɑːh kɪbɪɾɑː
گنبد	gˈumbˈan
گنتی	gyntˈiː
گنتی کی گئی	neːt̪iː kiː gɐiː
گنج خوبی	gʌndʒxobriː
گنج شریف	gʌl ʃɛɾiːf
گنجا	gɐ̃ɲdʒɐ
گنجا عقاب	ganuʒɑ ɔqɑbɯ
گنجائش	kʊɫdʒaʃ
گنجائش نہیں	ɣʌnˈgɑːɪʃ nəɦẽː
گنجائش کے قابل	goːnˈʒɑːʔiːʃ keː qɑːbɪz
گنجان آباد	gndʒɑːn ɑːbɑːdʒ
گنجاپن	gãŋˈjɑpən
گنجفہ	ɣanʒefe
گنجِ شہیداں	gəɲ je ʃaːaˈdaː
گنجے فرشتے	gəˈndʒe fərʃte
گند	ðam
گند گڑھ	gˈanlˈɛgˈɑ
گندا	gãnˈdæ
گندا پانی	gʌndaː paːniː
گندم	gãnˈdum
گندم کا آٹا	ɗʊm kə ɑːʈːa
گندگی	tɛnˈtˈɛki
گندھا ہوا بال	guːd̪ʱɑː ɦoːə baːl
گندھار	gʌnd̪ʱaːɾ
گندھارا	kəndˈhɑra
گندہ	tʃu
گندہ پانی	gəɳɖäː pəniː
گندی	gənbiː˧
گندی زبان	gʌndiː zʌbɑːn
گندی ہوا	gʌndiː haːwɑː
گندے	gʌndbeː
گنوا	gəwaː
گنوا بیٹھے	gʊːŋaː beːtʰe
گنوا کر	gʋaːn kɾ
گنواؤ	gɫowˈ
گنوائیں	gɒuˈe
گنوادیا	gɐʊˈaːnˈɗiːɑ
گنوار	navaːr
گنوارپن	koːˈarˈapən
گنوانا	gɔɑnɑ
گنّا	dnˈoː
گنّے کا ایک نام	gɐnːneː käː əɪk nɑm
گنڈا	gʌɳːda
گنڈاسا	gʌndˈəsə
گنڈاسہ	ɣəɳɑːsə
گنڈہ	vɐ̃ːɳɖa
گنڈیری	gɐɳɖɛɾi
گنڈیریوں	gɐndeːɾioː
گنڈے	gʌɳɖeː
گنگا	kəŋˈga
گنگا بہتی ہے	gʱŋɦ bɛːɦt̪iː ɦɛː
گنگا جمنی تہذیب	gʌŋaː dʒmniː t̪əɦziː
گنگنا	guːnˈguːnˈa
گنگنائے	gʊ̃ngʊ̃nɑːʔə
گنہ گار نہیں	ɣ̞nɦɣ̞ɑːɾ nəɦẽːʔ
گنہگاری	gʊlaːhgɑːriː
گنی	gɪlˈi
گنی بساؤ	gˈɪni dˈiːzˈæl
گنے کی پھوٹ	ɣɑːnneː kiː puːt̪
گهاٹی	gɑːt̪iː
گهر کو آئے	gʱɐɾː koːəeː
گهربار	gʱɐɾbaːɾ
گهسیٹنا	gʊsʃəɾːnɑː
گهنٹا	gʱəɳtaː
گهنٹہ	gʱəɳtaː
گهٹا	gʱt̪aː
گهڑی	gʱəɽiː
گو	gˈoʊ
گو دعویِ تقویٰ	go dɑwɑjˈhe daxwɑ
گو کہ	gˈoːkˈɛ
گواتے مالا	ɦʊɑː t̪iːmɑːlɑː
گوادالوپے	ʒˈoɑdəloːpe
گوادر	qɑwɑrðær
گوار پھلی	guːɑːr pʰəɪliː
گواریا	ɣʷəɾiːə
گوال منڈی	guwɑl mənɖi
گوالا	gavɑːlɑh
گوالمنڈی	gʊːɑːlməŋɖiː
گوالن	gʊaːləŋ
گوالیار	gʊːɑːliːəɾ
گوالیر	gˈoˈaleɾ
گوام	buˈɑm
گوانا	gʊˈanɑ
گواہی	gʊdʒʊ
گواہی دیتے ہیں	gʊːɑːt̪ʰiː ɖʰt̪eː ɦẽːʔ
گوبر	ʈobar
گوبھی	kɔpɪ
گوبھی گوشت	gubi gɔʃt
گوجرانوالہ	guːnˈzɑːwaːˈla
گوجرخان	gdʒɾxaːn
گوجره	bozɾa
گوجرہ	gɔdʒrɑ
گوجری زبان	gʊdʒoːriː zəbɑːn
گوجَر	gɔldʒaɾ
گوجَْرا	vˈoːldjˈoɾa
گود	gˈod
گود سے اترآتی	goːt seː ʔut̪ɾaːtiː
گود لیا تھا	gˈˈɔdliːˈata
گود میں	gˈoʊdni
گود میں بچہ	boːl mɛ̃ː bɑːtʃːa
گودا	bulda
گودا لگائیں	goːda ləgɑːe
گودام	gʊdɑm
گودنا	gozðənɔːn
گودی	ɣoːbiː
گور بَغلی	gʊɾ bʊɣli
گور کے پہلُو	gʊɾ keː pəlʊ
گورا	gora
گورا آدمی	gʊɾaː aːdʋiː
گورا پن	gʊɾəpən
گورانو	gˈˈorˈaŋˈo
